Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Kalorie,Czas,Średnie tętno,Maksymalne tętno,Średni rytm biegu,Maksymalny rytm biegu,Średnia prędkość,Maksymalna prędkość,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Training Stress Score® (TSS®),Trudność,Płynność,Łącznie ruchów,Razem powtórzeń,Razem serii,Czas nurkowania,Minimalna temperatura,Przerwa powierzchniowa,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Chodzenie,2021-03-01 15:42:22,false,"Gdańsk Spacerowanie","4.47","298","00:56:15","101","123","90","125","12:35","10:16","46","49","18.64","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","06:54.10","5","0.0","00:54:12","00:56:15","59","102"
Chodzenie,2021-02-27 13:32:22,false,"Gdańsk Spacerowanie","3.78","207","00:39:32","97","109","100","138","10:28","0:49","17","20","1.31","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","02:26.25","4","0.0","00:36:14","00:39:32","-31","23"
Kolarstwo,2021-02-25 15:46:42,false,"Gdańsk Kolarstwo","34.07","952","01:59:38","129","176","--","--","17.1","38.8","104","114","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:59:37.100","1","0.0","01:56:56","02:21:53","-16","79"
Kolarstwo,2021-02-20 12:20:36,false,"Gdańsk Kolarstwo","33.54","715","02:23:38","105","157","--","--","14.0","36.7","203","224","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","02:23:38.15","1","0.0","02:18:00","03:15:26","-13","104"
Chodzenie,2021-02-14 16:43:28,false,"Kosakowo Spacerowanie","2.12","99","00:18:43","97","112","106","128","8:51","1:03","6","2","1.06","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:06.38","3","0.0","00:17:56","00:18:43","-11","-1"
Chodzenie,2021-02-13 12:10:05,false,"Gdańsk Spacerowanie","6.08","310","01:04:37","107","131","100","122","10:38","0:55","69","31","0.83","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:06.35","7","0.0","01:03:12","01:04:37","-27","75"
Bieganie,2021-01-19 17:34:58,false,"Gdańsk Bieg","7.48","1,149","01:45:25","147","187","31","159","14:06","4:02","78","79","2.27","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:45:24.92","1","0.0","01:26:01","01:55:17","100","154"
Chodzenie,2021-01-16 12:00:56,false,"Gdańsk Spacerowanie","4.27","311","01:02:39","102","142","96","206","14:40","3:46","22","27","0.72","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","04:52.50","5","0.0","00:56:55","01:02:39","1","26"
Kolarstwo,2021-01-12 17:18:05,false,"Kolarstwo","0.00","299","00:24:34","152","170","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","24:34.44","1","0.0","00:00:00","00:24:34","89","103"
Chodzenie,2021-01-01 13:57:41,false,"Kosakowo Spacerowanie","2.80","243","00:52:40","103","135","76","160","18:50","11:59","42","44","0.71","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","14:18.32","3","0.0","00:47:18","00:52:40","3","44"
Chodzenie,2020-12-26 13:21:48,false,"Gdańsk Spacerowanie","2.47","184","00:43:27","93","124","69","160","17:35","9:49","26","24","0.83","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","10:34.50","3","0.0","00:39:32","00:43:27","152","191"
Chodzenie,2020-12-25 09:44:31,false,"Gdańsk Spacerowanie","2.00","159","00:26:58","101","128","95","119","13:27","10:31","22","24","0.79","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:04.86","3","0.0","00:25:46","00:26:58","108","215"
Bieganie,2020-12-05 13:07:59,false,"Gdańsk Bieg","5.79","712","01:26:44","131","176","42","230","14:58","2:39","57","74","1.59","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:26:44.12","1","0.0","01:00:49","01:26:44","147","205"
Bieganie,2020-11-21 13:19:26,false,"Gdańsk Bieg","5.49","899","01:24:36","146","189","44","229","15:25","2:55","17","12","1.47","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:24:36.36","1","0.0","00:58:59","01:24:36","198","215"
Chodzenie,2020-11-15 13:10:52,false,"Sopot Spacerowanie","4.12","266","00:53:21","105","133","86","122","12:56","1:07","32","32","1.47","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:07.49","5","0.0","00:45:27","00:53:21","54","87"
Bieganie,2020-11-14 15:39:53,false,"Gdańsk Bieg","5.07","514","01:22:54","113","141","39","245","16:21","2:44","118","127","1.58","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:22:53.72","1","0.0","00:56:10","01:22:54","38","114"
Chodzenie,2020-11-11 15:18:15,false,"Gdańsk Spacerowanie","5.06","330","00:56:19","103","114","117","126","11:07","10:09","53","54","0.77","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:43.36","6","0.0","00:55:44","00:56:19","35","83"
Chodzenie,2020-11-10 15:25:28,false,"Gdańsk Spacerowanie","4.65","333","01:03:28","97","136","98","134","13:39","8:48","40","33","0.75","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","11:04.45","5","0.0","00:58:46","01:03:31","37","77"
Kolarstwo,2020-11-09 15:26:05,false,"Gdańsk Kolarstwo","26.50","818","01:20:01","135","176","--","--","19.9","39.2","93","122","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:20:00.83","1","0.0","01:17:54","01:33:24","-18","74"
Chodzenie,2020-11-07 11:20:27,false,"Gdańsk Spacerowanie","5.77","376","01:12:19","101","118","108","157","12:32","10:12","58","57","0.74","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","09:38.67","6","0.0","01:12:04","01:12:19","35","82"
Kolarstwo,2020-11-03 14:52:57,false,"Gdańsk Kolarstwo","26.32","752","01:30:20","131","170","--","--","17.5","46.8","241","275","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:30:19.96","1","0.0","01:28:17","01:44:40","12","131"
Kolarstwo,2020-10-30 17:02:10,false,"Gdańsk Kolarstwo","18.00","504","01:05:09","121","147","--","--","16.6","40.9","140","139","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:05:09.20","1","0.0","01:03:32","01:31:34","-25","80"
Bieganie,2020-10-29 18:22:48,false,"Gdańsk Bieg","2.44","221","00:15:04","168","189","148","182","6:10","4:19","11","16","1.10","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","15:04.33","1","0.0","00:13:22","00:15:04","5","18"
Chodzenie,2020-10-22 17:54:28,false,"Gdańsk Spacerowanie","4.48","313","00:58:28","110","153","102","123","13:03","10:54","31","38","0.75","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","08:59.40","5","0.0","00:54:52","00:58:28","64","93"
Chodzenie,2020-10-11 09:37:44,false,"Gdańsk Spacerowanie","2.28","153","00:31:24","106","122","96","143","13:46","10:57","4","6","0.75","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","03:41.51","3","0.0","00:30:14","00:31:24","-3","17"
Bieganie,2020-10-07 18:03:28,false,"Gdańsk Bieg","5.17","574","01:41:11","116","149","34","234","19:34","2:23","81","100","1.49","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:41:11.07","1","0.0","00:55:40","01:41:11","17","68"
Bieganie,2020-09-30 17:21:46,false,"Gdańsk Bieg","3.56","432","01:18:58","111","144","28","245","22:10","4:09","--","13","1.63","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:18:57.69","1","0.0","00:41:20","01:24:26","-38","-4"
Bieganie,2020-09-23 18:10:24,false,"Gdańsk Bieg","5.77","1,053","01:40:23","149","186","37","221","17:24","3:03","307","318","1.53","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:40:23.46","1","0.0","01:13:46","01:40:23","38","132"
Bieganie,2020-09-16 18:13:18,false,"Gdańsk Bieg","5.14","782","01:19:52","149","182","42","236","15:33","2:31","291","312","1.55","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:19:51.85","1","0.0","00:55:47","01:19:52","-56","85"
Chodzenie,2020-09-12 14:14:31,false,"Kosakowo Spacerowanie","2.86","222","00:54:24","98","133","69","160","19:02","13:14","38","37","0.78","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","13:24.49","3","0.0","00:51:27","00:54:24","-6","25"
Kolarstwo,2020-09-11 15:23:28,false,"Gdańsk Kolarstwo","60.47","1,203","02:59:10","124","179","--","--","20.3","42.0","132","185","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","02:59:09.63","1","0.0","02:57:57","03:27:37","-26","77"
Bieganie,2020-09-09 18:06:25,false,"Gdańsk Bieg","5.64","883","01:22:09","151","181","44","226","14:33","2:27","229","232","1.56","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:22:08.88","1","0.0","01:01:38","01:22:09","3","90"
Chodzenie,2020-09-04 11:11:05,false,"Sibenik Spacerowanie","9.12","815","03:12:33","98","144","38","190","21:06","3:31","99","232","11.55","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:32.32","10","0.0","01:27:34","03:12:33","-25","153"
Pływanie w basenie,2020-09-02 12:59:37,false,"Pływanie w basenie","--","--","00:00:09.9","--","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:02.58","3","0.0","00:00:00","00:00:39.8","--","--"
Chodzenie,2020-08-30 15:33:32,false,"Selca Spacerowanie","3.05","192","00:48:19","90","123","86","159","15:50","10:46","41","36","0.73","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:40.82","4","0.0","00:41:53","00:48:19","-58","16"
Kolarstwo,2020-08-21 18:20:01,false,"Gdańsk Kolarstwo","39.45","932","02:00:34","127","177","--","--","19.6","43.3","117","135","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","02:00:33.73","1","0.0","01:58:56","02:43:35","1","89"
Bieganie,2020-08-19 18:03:40,false,"Gdańsk Bieg","7.69","1,174","01:55:16","154","188","48","245","15:00","2:19","275","290","1.40","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:55:15.58","1","0.0","01:27:41","01:55:16","6","92"
Kolarstwo,2020-08-07 17:40:07,false,"Gdańsk Kolarstwo","20.04","534","00:59:32","134","167","--","--","20.2","35.8","104","170","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","59:31.71","1","0.0","00:58:49","01:08:12","-6","89"
Bieganie,2020-08-05 18:07:01,false,"Gdańsk Bieg","6.20","1,122","01:36:35","164","193","41","245","15:35","2:21","374","426","1.56","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:36:34.60","1","0.0","01:10:08","01:36:35","-71","57"
Bieganie,2020-08-02 12:47:02,false,"Gdańsk Bieg","3.02","207","00:46:29","95","112","88","231","15:23","11:40","--","4","0.74","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","46:28.62","1","0.0","00:40:35","00:49:54","-98","-6"
Kolarstwo,2020-07-25 04:58:37,false,"Gdańsk Kolarstwo","118.47","3,015","06:21:49","134","174","--","--","18.6","44.0","744","976","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","06:21:49.23","1","0.0","06:18:22","10:49:00","-78","98"
Kolarstwo,2020-07-22 15:36:37,false,"Gdańsk Kolarstwo","56.63","1,114","03:01:25","116","164","--","--","18.7","43.5","330","346","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","03:01:25.42","1","0.0","02:57:58","04:29:15","-18","95"
Kolarstwo,2020-07-21 16:32:03,false,"Gdańsk Kolarstwo","30.53","786","01:36:46","133","172","--","--","18.9","42.0","142","160","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:36:46.43","1","0.0","01:35:45","02:45:04","-14","87"
Kolarstwo,2020-07-19 13:26:10,false,"Kolbudy Kolarstwo","11.53","341","00:54:10","114","145","--","--","12.8","26.9","71","71","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","54:09.67","1","0.0","00:53:30","01:03:53","52","100"
Kolarstwo,2020-07-19 10:40:18,false,"Gdańsk Kolarstwo","10.97","293","00:50:51","109","163","--","--","12.9","36.9","114","117","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","50:50.99","1","0.0","00:50:07","00:59:20","60","112"
Chodzenie,2020-07-18 15:45:01,false,"Gdańsk Spacerowanie","4.17","277","00:53:02","106","135","108","124","12:43","10:27","57","52","0.73","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","02:03.50","5","0.0","00:52:57","00:53:02","-11","38"
Kolarstwo,2020-07-17 16:46:59,false,"Gdańsk Kolarstwo","55.15","1,245","03:09:57","123","157","--","--","17.4","50.8","148","174","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","03:09:56.92","1","0.0","02:59:42","05:15:08","-65","83"
Chodzenie,2020-07-12 17:20:35,false,"Gdańsk Spacerowanie","5.08","333","01:11:39","100","118","101","126","14:05","12:04","63","56","0.70","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:10.99","6","0.0","01:11:38","01:11:39","-24","60"
Kolarstwo,2020-07-11 08:15:57,false,"Puck (Gmina) Kolarstwo","102.23","2,264","05:34:04","123","169","--","--","18.4","38.1","241","287","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","05:34:04.07","1","0.0","05:31:49","07:28:52","-54","11"
Chodzenie,2020-07-04 18:29:46,false,"Gdańsk Spacerowanie","3.74","246","00:46:27","103","124","108","118","12:25","9:01","44","8","0.75","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","09:17.05","4","0.0","00:46:22","00:46:38","31","83"
Kolarstwo,2020-07-04 10:06:09,false,"Gdańsk Kolarstwo","47.52","1,351","02:36:49","137","174","--","--","18.2","51.9","380","356","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","02:36:48.78","1","0.0","02:33:54","03:47:36","-13","138"
Kolarstwo,2020-06-30 18:05:31,false,"Gdańsk Kolarstwo","34.46","905","01:55:23","128","172","--","--","17.9","46.1","249","244","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:55:22.51","1","0.0","01:53:00","02:58:46","82","183"
Kolarstwo,2020-06-25 15:57:28,false,"Gdańsk Kolarstwo","85.24","2,172","04:36:39","135","174","--","--","18.5","37.5","437","453","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","04:36:39.12","1","0.0","04:32:21","06:36:15","-2","94"
Chodzenie,2020-06-20 12:04:26,false,"Karsin Spacerowanie","13.32","1,019","02:51:06","106","143","4","177","12:51","6:01","3","13","39.14","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","05:34.16","14","0.0","02:12:14","02:53:12","96","106"
Trening siłowy,2020-06-19 16:05:40,false,"Strength","0.00","395","01:06:15","110","160","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","11","1","0:00","0.0","0:00","Nie","01:06:15.12","1","0.0","01:06:15","01:06:15","--","--"
Kolarstwo,2020-06-14 16:27:30,false,"Gdańsk Kolarstwo","37.35","865","02:06:10","124","170","--","--","17.8","37.6","123","138","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","02:06:09.57","1","0.0","02:04:24","02:46:14","2","86"
Trening siłowy,2020-06-14 10:45:07,false,"Strength","0.00","282","00:43:07","123","163","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","9","1","0:00","0.0","0:00","Nie","43:07.23","1","0.0","00:43:07","00:43:07","--","--"
Chodzenie,2020-06-12 19:19:48,false,"Choczewo Spacerowanie","4.99","396","01:22:54","101","128","78","119","16:36","10:57","15","15","0.84","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","12:28.14","5","0.0","01:03:28","01:22:54","-6","3"
Kolarstwo,2020-06-12 13:52:25,false,"Gdańsk Kolarstwo","39.68","912","02:03:28","127","185","--","--","19.3","58.0","132","140","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","02:03:28.26","1","0.0","02:01:41","02:30:46","-3","89"
Bieganie,2020-06-11 14:38:21,false,"Puck (Gmina) Bieg","3.72","261","00:55:57","97","126","33","210","15:03","12:14","22","25","2.04","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","55:56.79","1","0.0","00:54:09","00:55:57","-37","11"
Kolarstwo,2020-06-06 12:42:50,false,"Gdańsk Kolarstwo","64.68","1,686","03:42:29","131","177","--","--","17.4","42.7","185","216","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","03:42:28.93","1","0.0","03:39:54","05:22:13","-17","90"
Kolarstwo,2020-06-04 16:34:13,false,"Gdańsk Kolarstwo","32.66","791","01:59:06","121","184","--","--","16.5","48.4","179","181","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:59:06.19","1","0.0","01:57:44","02:57:46","-4","106"
Kolarstwo,2020-06-01 16:11:26,false,"Gdańsk Kolarstwo","43.72","946","02:23:12","122","177","--","--","18.3","46.8","144","140","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","02:20:34","03:15:46","6","100"
Kolarstwo,2020-05-31 10:56:29,false,"Gdańsk Kolarstwo","65.65","1,552","03:38:04","130","169","--","--","18.1","49.6","232","257","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","03:36:31","04:22:30","21","121"
Kolarstwo,2020-05-29 15:49:30,false,"Gdańsk Kolarstwo","32.83","926","01:37:50","143","178","--","--","20.1","49.5","270","281","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:37:02","01:51:58","82","179"
Kolarstwo,2020-05-27 15:29:48,false,"Gdańsk Kolarstwo","33.91","1,000","01:50:42","136","184","--","--","18.4","42.7","129","128","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:46:38","03:23:23","16","107"
Kolarstwo,2020-05-21 14:55:54,false,"Gdańsk Kolarstwo","36.61","1,028","01:46:39","145","177","--","--","20.6","43.5","137","154","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:45:46","01:58:30","-32","64"
Chodzenie,2020-05-17 14:59:12,false,"Gdańsk Spacerowanie","5.06","302","01:04:12","96","131","101","118","12:41","0:54","72","61","0.78","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:03.06","6","0.0","01:03:31","01:04:12","9","58"
Chodzenie,2020-05-10 14:55:46,false,"Kosakowo Spacerowanie","5.06","326","01:12:35","109","152","90","157","14:21","0:57","11","4","0.78","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:02.20","6","0.0","01:10:23","01:12:35","-2","12"
Kolarstwo,2020-05-09 06:58:16,false,"Gdańsk Kolarstwo","130.74","3,388","07:12:29","139","181","--","--","18.1","49.6","1,125","1,153","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","07:09:58","09:05:15","9","248"
Chodzenie,2020-05-06 18:09:19,false,"Kosakowo Spacerowanie","2.00","165","00:38:07","97","127","53","159","19:02","11:32","9","8","1.16","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:03.66","3","0.0","00:35:31","00:38:09","-35","16"
Kolarstwo,2020-05-03 07:43:03,false,"Lębork Kolarstwo","92.13","2,569","05:53:57","135","188","--","--","15.6","45.7","865","957","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","05:49:17","08:18:27","-7","182"
Chodzenie,2020-05-02 19:13:30,false,"Jastarnia Spacerowanie","3.18","215","00:54:06","101","138","66","160","17:00","1:07","6","11","0.87","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:10.36","4","0.0","00:45:51","00:54:12","-11","-4"
Kolarstwo,2020-04-28 15:59:45,false,"Gdańsk Kolarstwo","15.80","395","01:19:34","105","134","--","--","11.9","33.8","81","98","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:18:07","01:33:33","6","121"
Kolarstwo,2020-04-26 11:39:51,false,"Gdańsk Kolarstwo","34.57","934","02:13:57","127","173","--","--","15.5","49.6","365","393","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","02:11:53","03:16:03","21","140"
Kolarstwo,2020-04-23 15:46:12,false,"Gdańsk Kolarstwo","48.28","1,179","02:34:24","130","170","--","--","18.8","51.7","142","144","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","02:33:00","03:03:16","-15","81"
Kolarstwo,2020-04-22 16:38:26,false,"Gdańsk Kolarstwo","26.46","656","01:40:14","116","175","--","--","15.8","41.1","128","93","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:38:49","02:42:17","-43","77"
Chodzenie,2020-04-21 18:43:29,false,"Gdańsk Spacerowanie","6.08","406","01:22:18","91","111","98","149","13:32","8:03","69","74","0.76","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:06.85","7","0.0","01:12:47","01:22:18","-32","18"
Chodzenie,2020-04-19 14:21:02,false,"Kolbudy Spacerowanie","2.92","183","00:39:40","100","125","95","113","13:34","7:27","20","26","0.77","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","12:05.36","3","0.0","00:39:11","00:39:40","24","130"
Bieganie,2020-04-18 21:59:31,false,"Gdańsk Bieg","2.93","232","00:18:08","160","190","159","172","6:12","4:56","24","28","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:17:58","00:18:08","71","94"
Kolarstwo,2020-04-06 15:52:45,false,"Gdańsk Kolarstwo","34.93","1,031","01:38:52","149","188","--","--","21.2","37.7","135","144","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:37:51","01:49:41","-21","84"
Kolarstwo,2020-03-28 11:42:11,false,"Gdańsk Kolarstwo","26.66","850","01:54:54","130","167","--","--","13.9","44.3","230","233","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:53:31","02:25:03","47","154"
Bieganie,2020-03-27 21:18:09,false,"Gdańsk Bieg","3.38","294","00:22:06","165","186","154","172","6:33","5:21","21","28","0.99","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:22:06","00:22:06","58","83"
Bieganie,2020-03-20 19:21:37,false,"Gdańsk Bieg","3.38","285","00:21:32","162","190","156","173","6:22","4:15","20","30","1.01","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:21:32","00:21:32","59","86"
Chodzenie,2020-03-13 13:08:22,false,"Polanica-Zdrój Spacerowanie","2.84","257","00:58:01","91","124","64","160","20:25","13:02","122","119","0.76","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","15:24.17","3","0.0","00:49:32","00:58:01","434","501"
Kolarstwo,2020-03-13 09:26:07,false,"Duszniki-Zdrój Kolarstwo","15.80","394","01:23:40","100","152","--","--","11.3","38.3","1,619","1,469","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:21:32","02:06:40","785","1,007"
Bieganie,2020-03-10 09:40:15,false,"Duszniki-Zdrój Bieg","18.78","810","02:31:06","101","147","4","232","8:03","1:50","1,882","2,007","34.13","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:47:22","02:31:06","875","1,058"
Bieganie,2020-03-08 17:11:06,false,"Gdańsk Bieg","5.44","653","01:49:17","118","170","32","226","20:06","2:27","33","39","1.56","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:03:35","01:49:17","35","64"
Kolarstwo,2020-03-08 09:39:00,false,"Gdańsk Kolarstwo","29.37","824","01:43:49","131","176","--","--","17.0","41.3","274","275","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:40:44","02:25:30","-60","59"
Trening siłowy,2020-03-07 16:53:27,false,"Strength","0.00","289","00:40:37","114","158","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","34","2","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:40:17","00:40:39","--","--"
Trening siłowy,2020-03-04 11:17:03,false,"Strength","0.00","150","00:34:29","91","170","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","5","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:34:29","00:34:29","--","--"
Bieganie,2020-03-01 17:06:20,false,"Gdańsk Bieg","6.13","742","01:47:25","127","165","35","245","17:32","1:49","25","33","1.64","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","00:00.00","1","0.0","01:08:02","01:47:25","28","240"
Trening siłowy,2020-02-26 10:29:05,false,"Strength","0.00","139","00:30:13","99","138","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","18","2","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:30:11","00:30:37","--","--"
Trening siłowy,2020-02-19 12:57:39,false,"Strength","0.00","246","00:40:51","117","150","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","12","1","0:00","0.0","0:00","Nie","00:00.00","1","0.0","00:40:51","00:40:51","--","--"
