Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Kalorie,Czas,Średnie tętno,Maksymalne tętno,Średni rytm biegu,Maksymalny rytm biegu,Średnia prędkość,Maksymalna prędkość,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Training Stress Score® (TSS®),Trudność,Płynność,Łącznie ruchów,Razem powtórzeń,Razem serii,Czas nurkowania,Minimalna temperatura,Przerwa powierzchniowa,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Chodzenie,2022-03-05 12:51:41,false,"Gdańsk Chodzenie","3.38","215","00:46:24","99","116","100","219","13:43","7:42","2","6","0.73","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","05:26.53","4","0.0","00:45:52","01:09:42","-128","93"
Chodzenie,2022-01-31 16:16:06,false,"Gdańsk Chodzenie","5.21","343","00:55:43","101","116","118","130","10:41","8:59","45","46","0.80","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","02:38.22","6","0.0","00:55:25","00:58:40","50","85"
Chodzenie,2022-01-18 16:09:43,false,"Gdańsk Chodzenie","4.92","326","00:58:40","111","129","113","130","11:55","9:27","54","56","0.74","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","11:14.67","5","0.0","00:58:23","00:59:39","-93","85"
Chodzenie,2022-01-07 10:21:17,false,"Solina Chodzenie","4.98","484","01:32:06","105","146","66","242","18:30","2:09","282","321","1.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","03:59.09","5","0.0","01:28:15","02:35:51","352","787"
Bieganie,2021-11-22 18:42:54,false,"Gdańsk Bieganie","5.30","508","01:18:05","120","150","43","218","14:44","2:14","12","29","1.59","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:18:04.65","1","0.0","00:57:28","01:18:05","47","145"
Bieganie,2021-11-15 18:37:57,false,"Gdańsk Bieganie","5.98","482","01:24:06","115","149","48","226","14:03","2:31","56","66","1.48","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:24:05.70","1","0.0","01:07:23","01:24:06","-28","81"
Bieganie,2021-11-08 18:38:35,false,"Gdańsk Bieganie","4.43","415","01:20:36","111","148","33","210","18:12","2:43","3","23","1.67","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:20:35.91","1","0.0","00:53:02","01:20:36","19","60"
Bieganie,2021-10-11 19:01:18,false,"Gdańsk Bieganie","4.10","366","00:58:36","118","153","49","245","14:18","3:02","3,048","3,053","1.43","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","58:36.21","1","0.0","00:46:11","00:58:36","57","7,883"
Bieganie,2021-10-06 18:08:57,false,"Gdańsk Bieganie","5.73","541","01:23:43","120","170","42","245","14:36","2:50","432","444","1.64","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","01:23:43.28","1","0.0","00:59:37","01:23:43","-44","138"
Kolarstwo,2021-10-05 15:18:25,false,"Gdańsk Kolarstwo","13.71","274","00:42:43","111","174","--","--","19.3","42.8","76","88","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","Nie","42:43.33","1","0.0","00:41:30","02:35:10","31","117"
