Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-05-23 13:20:23,false,"Poznań Bieg","5.03","320","00:28:13","165","184","162","246","5:37","4:38","18","32","1.11","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:18.23","11","0.0","00:27:07","00:28:13","44","69"
Cycling,2021-05-15 18:16:22,false,"Stegna Kolarstwo","12.37","329","00:39:30","135","152","--","--","18.8","27.6","16","12","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:13.56","5","0.0","00:37:54","00:39:30","11","23"
Cycling,2021-05-15 16:47:45,false,"Sztutowo Kolarstwo","7.30","357","01:17:22","108","159","--","--","5.7","24.5","32","27","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","05:00.88","4","0.0","00:31:26","01:17:22","-4","15"
Indoor Cycling,2021-05-15 16:20:00,false,"Jazda na rowerze treningowym","0.00","236","00:25:57","138","155","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","25:57.18","1","0.0","00:00:00","00:25:57","--","--"
Indoor Cycling,2021-05-15 13:42:03,false,"Jazda na rowerze treningowym","0.00","1,016","02:32:27","131","166","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","02:32:27.20","1","0.0","00:00:00","02:32:27","--","--"
Running,2021-05-08 14:17:36,false,"Kórnik Bieg","2.03","135","00:11:05","176","192","161","178","5:28","4:33","2","4","1.13","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:07.98","3","0.0","00:10:58","00:11:05","47","52"
Running,2021-05-08 13:57:33,false,"Kórnik Bieg","3.16","199","00:17:51","163","190","170","176","5:39","4:20","11","2","1.04","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:53.88","4","0.0","00:17:51","00:17:51","58","69"
Cycling,2021-05-03 16:36:56,false,"Warszawa Kolarstwo","29.19","720","01:58:11","125","164","--","--","14.8","31.1","137","82","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","14:49.77","6","0.0","01:31:17","01:58:11","39","111"
Walking,2021-04-25 19:32:07,false,"Muratpasa Spacerowanie","2.27","162","00:34:25","108","137","85","249","15:08","6:41","13","4","0.77","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","03:08.80","3","0.0","00:29:06","00:34:25","24","38"
Walking,2021-04-25 17:55:15,false,"Muratpasa Spacerowanie","0.67","50","00:14:38","84","120","59","160","21:49","11:59","6","204","0.78","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","14:37.83","1","0.0","00:09:08","00:14:38","29","237"
Walking,2021-04-04 14:49:46,false,"Rabka-Zdrój Spacerowanie","5.27","344","01:23:05","106","141","77","241","15:46","8:56","31","349","0.83","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","04:15.99","6","0.0","01:05:31","01:23:05","613","935"
Walking,2021-04-04 14:15:49,false,"Niedźwiedź Spacerowanie","2.31","167","00:33:42","110","142","91","235","14:37","10:38","67","82","0.75","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","04:07.13","3","0.0","00:30:50","00:33:42","921","981"
Walking,2021-04-04 12:12:10,false,"Niedźwiedź Spacerowanie","3.91","473","01:15:48","123","158","77","182","19:24","12:04","379","29","0.67","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","15:13.71","4","0.0","01:06:55","01:15:48","629","981"
Walking,2021-04-03 12:18:56,false,"Niedźwiedź Spacerowanie","8.03","794","02:40:07","114","154","70","236","19:58","2:12","373","567","0.72","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:03.97","9","0.0","01:57:11","02:40:07","608","1,094"
Cycling,2021-04-01 19:25:41,false,"Warszawa Kolarstwo","5.86","156","00:22:38","117","146","--","--","15.5","33.0","8","89","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","03:59.26","2","0.0","00:20:49","00:22:38","98","182"
Indoor Cycling,2021-04-01 18:43:23,false,"Jazda na rowerze treningowym","0.00","169","00:22:27","125","169","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","22:27.13","1","0.0","00:00:00","00:22:27","--","--"
Pool Swimming,2021-03-02 19:53:55,false,"Pływanie w basenie","1,500","284","00:45:20","148","171","--","--","2:53","0:53","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1312","87","30","0:00","0.0","0:00","No","00:02.01","9","0.0","00:43:13","00:48:19","--","--"
Cross Country Classic Skiing,2021-02-14 12:21:21,false,"Kościelisko Klasyczny bieg narciarski","11.72","758","02:28:15","117","145","--","--","4.7","29.8","400","592","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","09:21.54","3","0.0","01:32:28","02:28:15","955","1,547"
Cross Country Classic Skiing,2021-02-14 10:19:11,false,"Kościelisko Klasyczny bieg narciarski","5.65","431","01:42:40","106","137","--","--","3.3","11.1","188","3","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","33:14.54","2","0.0","01:13:38","01:42:40","956","1,146"
Cross Country Classic Skiing,2021-02-13 10:44:44,false,"Kościelisko Klasyczny bieg narciarski","15.09","1,665","05:51:28","119","147","--","--","2.6","22.6","688","702","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","39:52.70","4","0.0","03:09:07","05:51:28","871","1,268"
Cross Country Classic Skiing,2021-02-09 19:53:14,false,"Warszawa Klasyczny bieg narciarski","7.24","448","01:43:45","107","135","--","--","4.2","15.7","38","40","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","33:59.74","2","0.0","01:24:32","01:43:45","79","100"
Cross Country Classic Skiing,2021-02-02 21:05:46,false,"Warszawa Klasyczny bieg narciarski","5.10","255","00:45:41","119","136","--","--","6.7","75.8","31","8","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:04.71","2","0.0","00:33:54","00:45:41","79","103"
Cross Country Classic Skiing,2021-02-02 20:11:48,false,"Warszawa Klasyczny bieg narciarski","4.37","254","00:53:12","108","128","--","--","4.9","10.2","6","7","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:10.63","2","0.0","00:43:33","00:53:12","77","82"
Cross Country Classic Skiing,2021-01-24 09:19:51,false,"Namestovo Klasyczny bieg narciarski","4.80","1,046","02:20:19","142","167","--","--","2.1","37.5","590","270","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","02:20:18.70","1","0.0","01:06:44","02:20:19","947","1,538"
Cross Country Classic Skiing,2021-01-23 11:10:26,false,"Jeleśnia Klasyczny bieg narciarski","7.08","759","01:36:54","140","170","--","--","4.4","40.4","269","918","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","11:29.86","2","0.0","00:53:50","01:36:54","694","1,572"
Cross Country Classic Skiing,2021-01-23 09:04:27,false,"Jeleśnia Klasyczny bieg narciarski","3.92","974","01:36:32","158","175","--","--","2.4","30.6","576","8","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:36:32.34","1","0.0","01:04:37","01:36:32","730","1,309"
Cross Country Classic Skiing,2021-01-20 19:29:52,false,"Warszawa Klasyczny bieg narciarski","7.80","716","01:43:14","135","173","--","--","4.5","10.9","12","14","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","37:24.20","2","0.0","01:19:35","01:43:14","82","91"
Walking,2021-01-04 15:20:35,false,"Toudgha El Oulia Spacerowanie","3.09","198","01:02:34","101","123","72","151","20:15","12:09","2","460","0.69","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:03.06","4","0.0","00:54:31","01:02:34","1,471","1,933"
Walking,2021-01-01 18:31:25,false,"Rabat Spacerowanie","1.12","73","00:16:27","91","105","86","221","14:43","8:35","295","6","0.80","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","02:47.71","2","0.0","00:13:25","00:16:27","76","371"
Cycling,2020-12-31 14:14:19,false,"Salé Kolarstwo","14.48","518","01:47:57","112","138","--","--","8.0","24.8","93","30","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","29:59.84","3","0.0","01:14:07","01:47:57","10","81"
Cycling,2020-12-31 13:39:15,false,"Salé Kolarstwo","1.25","56","00:08:34.5","113","130","--","--","8.7","22.5","9","18","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","08:34.50","1","0.0","00:06:16","00:08:34.5","19","38"
Cycling,2020-12-31 09:50:17,false,"Rabat Kolarstwo","37.45","1,000","03:16:28","118","156","--","--","11.4","31.8","168","143","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","10:53.67","8","0.0","02:44:47","03:28:28","-9","26"
Cycling,2020-12-26 15:05:30,false,"Poznań Kolarstwo","15.76","379","01:05:24","119","145","--","--","14.5","30.5","48","37","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","02:46.63","4","0.0","01:00:59","01:05:24","62","96"
Cycling,2020-12-25 11:18:04,false,"Poznań Kolarstwo","10.37","292","00:57:15","111","130","--","--","10.9","32.9","43","33","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","02:56.46","3","0.0","00:49:10","00:57:20","43","70"
Walking,2020-11-07 06:05:54,false,"Bukowina Tatrzańska Spacerowanie","14.28","2,236","09:00:55","108","164","27","233","37:53","5:18","1,424","164","3.22","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","09:33.59","15","0.0","02:35:32","09:21:18","969","2,317"
Running,2020-10-31 13:34:29,false,"Poznań Bieg","13.03","766","01:12:34","163","176","172","190","5:34","4:54","8","25","1.04","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:09.50","14","0.0","01:12:20","01:23:07","46","58"
Running,2020-10-29 17:22:54,false,"Warszawa Bieg","5.74","355","00:33:03","164","186","173","184","5:45","4:41","4","2","1.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","04:06.11","6","0.0","00:32:44","00:35:48","70","75"
Running,2020-10-29 16:49:35,false,"Warszawa Bieg","5.07","306","00:29:02","161","175","173","182","5:44","4:58","4","6","1.01","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:21.97","6","0.0","00:29:00","00:29:57","73","80"
Running,2020-10-27 21:00:47,false,"Warszawa Bieg","6.61","402","00:39:07","157","174","169","176","5:55","5:03","4","10","1.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","03:37.02","7","0.0","00:38:42","00:43:14","72","82"
Running,2020-10-26 18:13:24,false,"Warszawa Bieg","12.51","763","01:13:13","159","181","168","183","5:51","4:44","10","11","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","02:50.08","13","0.0","01:12:55","01:28:25","76","87"
Running,2020-10-25 20:38:28,false,"Warszawa Bieg","8.10","448","00:43:08","157","173","167","181","5:20","4:19","13","9","1.13","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:41.85","9","0.0","00:42:34","00:48:59","76","91"
Running,2020-10-24 13:33:57,false,"Warszawa Bieg","5.03","318","00:34:36","152","170","157","175","6:53","5:27","2","7","0.92","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:08.11","6","0.0","00:34:33","00:45:27","60","74"
Running,2020-10-22 21:15:51,false,"Warszawa Bieg","10.03","600","00:55:08","163","186","169","178","5:30","4:20","8","9","1.08","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:07.28","11","0.0","00:54:59","01:01:19","68","78"
Running,2020-10-19 21:10:03,false,"Warszawa Bieg","7.10","421","00:38:00","163","181","169","182","5:21","4:32","9","13","1.11","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:32.72","8","0.0","00:37:54","00:40:24","65","76"
Running,2020-10-17 17:49:37,false,"Warszawa Bieg","6.17","343","00:31:07","161","187","168","177","5:03","3:55","8","12","1.18","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:02.35","7","0.0","00:31:03","00:35:31","65","77"
Running,2020-10-15 21:42:19,false,"Warszawa Bieg","7.20","382","00:38:09","155","181","167","247","5:18","4:14","9","13","1.13","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:04.97","8","0.0","00:37:59","00:43:21","76","87"
Running,2020-10-10 17:53:27,false,"Warszawa Bieg","7.13","372","00:37:08","156","173","169","176","5:13","4:43","--","11","1.14","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:36.54","8","0.0","00:37:05","00:43:13","66","77"
Running,2020-10-07 20:26:05,false,"Warszawa Bieg","7.19","437","00:41:20","160","189","167","174","5:45","4:37","--","13","1.04","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:12.33","8","0.0","00:41:19","00:44:53","76","85"
Running,2020-10-02 17:49:30,false,"Arco Bieg","5.32","319","00:32:40","151","174","164","240","6:08","4:38","7","7","0.99","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:46.21","6","0.0","00:32:36","00:36:38","46","85"
Running,2020-09-24 00:57:17,false,"Bieg","0.00","--","00:00:02.0","82","84","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:02.01","1","0.0","00:00:00","00:00:03.1","46","46"
Cycling,2020-08-30 14:21:52,false,"Poznań Kolarstwo","40.57","734","02:08:06","119","155","--","--","19.0","35.5","132","123","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","02:10.89","9","0.0","02:06:00","02:50:47","46","114"
Cycling,2020-08-02 12:37:25,false,"Bari Kolarstwo","37.89","893","02:47:36","118","157","--","--","13.6","37.3","173","261","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","14:40.25","8","0.0","02:17:57","06:15:35","-11","44"
Cycling,2020-08-02 10:58:06,false,"Bari Kolarstwo","11.55","252","00:43:04","117","153","--","--","16.1","28.9","30","17","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","05:39.44","3","0.0","00:41:18","01:00:48","25","41"
Cycling,2020-07-30 20:34:17,false,"Warszawa Kolarstwo","7.39","158","00:31:10","108","136","--","--","14.2","27.2","15","11","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","07:57.56","2","0.0","00:24:21","00:42:38","79","89"
Cycling,2020-07-29 19:35:57,false,"Warszawa Kolarstwo","14.78","312","00:58:29","115","147","--","--","15.2","35.3","51","29","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","15:12.88","3","0.0","00:47:53","01:39:29","66","100"
Cycling,2020-07-26 11:46:47,false,"Warszawa Kolarstwo","40.88","753","02:15:02","122","155","--","--","18.2","36.1","43","54","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","08:18.32","9","0.0","02:03:56","02:34:42","35","82"
Rowing,2020-07-19 11:54:25,false,"Kórnik Wiosłowanie","3,904","171","01:04:03","83","119","--","--","8:12","4:19","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1132","--","--","0:00","0.0","0:00","No","05:24.10","8","0.0","00:54:13","01:12:19","--","--"
Cycling,2020-07-18 15:39:25,false,"Kórnik Kolarstwo","30.84","549","01:39:14","120","154","--","--","18.6","31.2","86","68","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","03:22.23","7","0.0","01:33:36","02:01:27","50","83"
Floor Climbing,2020-07-18 14:32:49,false,"Pokonywanie pi","0.00","156","00:57:47","83","120","--","--","--","--","255","229","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","57:47.15","1","0.0","00:00:00","00:57:47","-131","73"
Cycling,2020-07-17 22:42:42,false,"Warszawa Kolarstwo","7.39","161","00:24:27","120","142","--","--","18.1","27.2","3","7","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","08:39.10","2","0.0","00:23:12","00:24:27","66","73"
Cycling,2020-07-17 21:04:29,false,"Warszawa Kolarstwo","7.45","179","00:28:20","117","144","--","--","15.8","28.2","13","13","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","08:58.33","2","0.0","00:23:07","00:28:20","40","87"
Cycling,2020-07-15 22:17:27,false,"Warszawa Kolarstwo","7.35","169","00:24:38","122","146","--","--","17.9","26.2","6","13","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","09:24.30","2","0.0","00:22:26","00:24:38","63","77"
Cycling,2020-07-15 20:36:34,false,"Warszawa Kolarstwo","7.37","147","00:25:33","112","137","--","--","17.3","27.6","2","5","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","08:11.45","2","0.0","00:23:12","00:27:18","77","83"
Cycling,2020-07-13 14:49:14,false,"Warszawa Kolarstwo","16.81","413","01:22:13","115","151","--","--","12.3","34.3","50","49","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","11:10.98","4","0.0","00:58:48","01:22:13","64","93"
Cycling,2020-07-11 19:40:17,false,"Warszawa Kolarstwo","7.63","165","00:29:34","113","138","--","--","15.5","30.9","2","4","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","14:45.79","2","0.0","00:23:12","00:29:34","20","82"
Cycling,2020-07-11 17:56:15,false,"Warszawa Kolarstwo","7.24","140","00:24:37","112","136","--","--","17.7","29.9","4","9","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","08:55.98","2","0.0","00:20:42","00:24:37","25","32"
Cycling,2020-07-08 15:07:06,false,"Warszawa Kolarstwo","2.81","88","00:15:35","111","136","--","--","10.8","25.3","34","9","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","15:35.23","1","0.0","00:11:49","00:15:35","82","108"
Cycling,2020-07-08 10:07:26,false,"Warszawa Kolarstwo","4.76","126","00:22:03","113","146","--","--","13.0","34.5","11","33","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","22:02.53","1","0.0","00:16:32","00:22:03","65","109"
Cycling,2020-07-08 09:11:22,false,"Warszawa Kolarstwo","6.37","229","00:29:45","133","177","--","--","12.8","25.3","36","15","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","07:57.95","2","0.0","00:22:41","00:29:45","55","87"
Cycling,2020-07-07 16:46:02,false,"Gdańsk Kolarstwo","9.39","267","00:44:51","116","143","--","--","12.6","39.1","87","81","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","21:00.83","2","0.0","00:38:22","00:44:51","3","71"
Walking,2020-07-05 11:43:11,false,"Lubichowo Spacerowanie","7.21","396","01:30:38","98","120","94","187","12:34","8:59","33","34","0.85","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","02:39.16","8","0.0","01:21:29","01:30:38","104","123"
Cycling,2020-07-01 22:09:36,false,"Warszawa Kolarstwo","7.64","163","00:27:58","114","140","--","--","16.4","25.4","9","7","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","09:45.97","2","0.0","00:25:00","00:27:58","77","84"
Cycling,2020-07-01 18:08:34,false,"Warszawa Kolarstwo","3.97","96","00:13:10","123","134","--","--","18.1","24.1","22","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","13:10.06","1","0.0","00:12:52","00:13:10","87","116"
Cycling,2020-06-25 19:09:26,false,"Warszawa Kolarstwo","17.39","263","00:56:26","110","145","--","--","18.5","32.2","74","75","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","07:49.98","4","0.0","00:50:22","02:29:17","72","125"
Cycling,2020-06-22 13:14:18,false,"Warszawa Kolarstwo","8.26","166","00:29:32","115","165","--","--","16.8","33.8","59","64","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","13:45.18","2","0.0","00:23:57","00:55:08","45","88"
Rowing,2020-06-07 11:17:30,false,"Kępice Wiosłowanie","10,510","546","03:05:11","91","115","--","--","8:49","3:10","--","--","0.00","0.0","0.0","0.0","0.0","0.0","2681","--","--","0:00","0.0","0:00","No","00:39.55","22","0.0","02:01:01","03:05:16","--","--"
Rowing,2020-06-06 16:02:44,false,"Kępice Wiosłowanie","7,659","564","02:46:21","98","141","--","--","10:52","1:02","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1655","--","--","0:00","0.0","0:00","No","00:05.12","16","0.0","01:17:47","02:46:21","--","--"
Rowing,2020-06-06 10:53:15,false,"Trzebielino Wiosłowanie","1,467","108","00:29:56","93","115","--","--","10:12","2:56","--","--","0.00","0.0","0.0","0.0","0.0","0.0","336","--","--","0:00","0.0","0:00","No","05:20.09","3","0.0","00:15:29","00:50:30","--","--"
Cycling,2020-06-02 19:21:54,false,"Warszawa Kolarstwo","1.82","39","00:05:59.0","116","143","--","--","18.3","30.5","10","9","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:00.00","1","0.0","00:05:17","00:05:59.0","84","93"
Cycling,2020-06-01 19:10:16,false,"Warszawa Kolarstwo","15.91","388","00:44:43","146","177","--","--","21.3","32.9","110","90","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","05:29.91","4","0.0","00:41:31","00:44:43","26","126"
Cycling,2020-06-01 15:25:34,false,"Warszawa Kolarstwo","9.36","228","00:37:30","121","150","--","--","15.0","32.3","41","57","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","18:35.24","2","0.0","00:27:30","02:12:35","68","120"
Cycling,2020-05-26 14:37:03,false,"Warszawa Kolarstwo","5.54","133","00:18:43","124","169","--","--","17.8","34.7","36","12","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:37.24","2","0.0","00:16:10","00:18:43","66","98"
Cycling,2020-05-13 16:00:36,false,"Warszawa Kolarstwo","20.05","387","01:06:44","119","148","--","--","18.0","30.7","38","37","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:20.76","5","0.0","00:59:52","01:06:44","72","86"
Cycling,2020-05-12 16:20:02,false,"Warszawa Spacerowanie","16.13","421","01:24:19","113","155","3","157","11.5","30.3","49","53","50.48","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","02:27.40","17","0.0","00:56:03","01:24:19","76","101"
Cycling,2020-05-02 12:06:54,false,"Lubichowo Kolarstwo","38.61","885","02:52:58","118","162","--","--","13.4","33.3","217","198","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","11:12.98","8","0.0","02:17:35","03:11:09","100","142"
Cycling,2020-05-01 16:37:08,false,"Lubichowo Kolarstwo","39.29","1,007","02:31:18","133","160","--","--","15.6","28.9","194","252","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","14:25.93","8","0.0","02:18:53","02:31:18","75","173"
Cycling,2020-04-30 18:45:02,false,"Warszawa Kolarstwo","14.74","307","00:59:21","115","150","--","--","14.9","31.5","162","223","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","17:06.66","3","0.0","00:45:31","00:59:21","21","227"
Cycling,2020-04-30 13:22:17,false,"Warszawa Kolarstwo","29.73","689","01:58:06","125","169","--","--","15.1","32.7","210","284","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","16:32.05","6","0.0","01:33:35","02:04:06","-135","-37"
Running,2020-04-27 18:18:45,false,"Poznań Bieg","4.32","246","00:23:10","163","181","169","182","5:22","3:41","8","140","1.10","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:37.02","5","0.0","00:23:10","00:29:26","-135","196"
Walking,2020-04-26 11:58:40,false,"Kaźmierz Spacerowanie","5.36","238","01:17:45","85","140","82","159","14:30","8:45","443","438","0.86","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","04:48.46","6","0.0","01:06:25","01:33:05","82","245"
Running,2020-04-25 16:19:36,false,"Komorniki Bieg","6.02","353","00:34:10","160","179","168","181","5:40","4:44","7","20","1.05","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:07.28","7","0.0","00:34:08","00:39:35","83","99"
Running,2020-04-19 16:31:26,false,"Czerwińsk nad Wisłą Bieg","5.01","267","00:28:49","146","171","166","176","5:45","4:59","14","28","1.05","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:02.99","6","0.0","00:28:47","00:28:49","58","77"
Cycling,2020-04-18 14:34:01,false,"Warszawa Kolarstwo","38.61","738","02:29:39","116","152","--","--","15.5","27.1","52","46","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","14:41.16","8","0.0","02:14:42","02:44:10","80","117"
Cycling,2020-04-11 14:57:32,false,"Warszawa Kolarstwo","30.65","658","01:46:41","127","156","--","--","17.2","32.7","59","58","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","05:54.59","7","0.0","01:31:15","01:46:41","105","129"
Walking,2020-04-06 15:24:59,false,"Warszawa Spacerowanie","6.02","328","01:13:34","107","137","95","149","12:13","6:00","7","2","0.87","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:19.41","7","0.0","01:02:22","01:13:34","109","115"
Running,2020-04-05 20:28:13,false,"Warszawa Bieg","5.02","293","00:28:13","159","180","166","196","5:37","2:09","--","6","1.07","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:05.58","6","0.0","00:28:06","00:28:13","82","87"
Cycling,2020-04-04 13:42:00,false,"Warszawa Kolarstwo","57.27","1,137","03:45:59","117","155","--","--","15.2","26.3","41","48","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","07:30.31","12","0.0","03:21:26","04:11:46","73","90"
Running,2020-04-03 17:48:04,false,"Warszawa Bieg","5.01","286","00:30:18","149","167","164","230","6:03","5:08","5","13","1.01","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:03.21","6","0.0","00:30:17","00:34:10","81","94"
