Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cross Country Classic Skiing,2021-12-28 18:40:54,false,"Warszawa Klasyczny bieg narciarski","3.78","260","01:04:53","105","120","--","--","3.5","11.1","11","2","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:04:52.58","1","0.0","00:48:16","01:04:53","87","98"
Cross Country Classic Skiing,2021-12-26 12:50:03,false,"Komorniki Klasyczny bieg narciarski","7.00","369","01:09:24","107","131","--","--","6.1","15.1","48","26","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","20:11.63","2","0.0","01:02:03","01:09:24","99","123"
Cross Country Classic Skiing,2021-12-25 12:22:44,false,"Komorniki Klasyczny bieg narciarski","7.00","655","01:21:55","146","165","--","--","5.1","12.2","25","34","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","19:45.43","2","0.0","01:06:02","01:21:55","76","102"
Running,2021-12-12 13:54:39,false,"Warszawa Bieganie","5.25","333","00:30:12","168","188","171","187","5:45","5:02","21","--","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:31.73","6","0.0","00:30:11","00:30:12","88","109"
Walking,2021-11-28 12:05:55,false,"Poznań Chodzenie","5.51","303","00:58:42","111","129","112","240","10:39","8:53","11","7","0.84","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","05:18.16","6","0.0","00:56:39","00:58:42","60","71"
Cycling,2021-11-21 10:35:40,false,"Copenhagen Kolarstwo","40.39","806","03:06:10","110","157","--","--","13.0","34.4","65","83","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:54.23","9","0.0","02:58:46","05:25:02","-38","35"
Running,2021-11-20 10:05:42,false,"Copenhagen Bieganie","5.55","336","00:31:07","168","182","166","183","5:36","4:50","20","8","1.07","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","03:06.70","6","0.0","00:30:16","00:31:07","12","32"
Walking,2021-11-14 12:00:58,false,"Czorsztyn Chodzenie","6.82","598","01:59:24","109","158","77","249","17:29","0:16","542","526","0.75","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:13.40","9","0.0","01:36:17","01:59:24","458","993"
Running,2021-11-12 16:48:01,false,"Zakopane Bieganie","2.01","112","00:11:19","159","172","164","177","5:37","4:41","27","14","1.09","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:03.97","3","0.0","00:11:13","00:11:19","772","797"
Running,2021-11-09 21:44:16,false,"Warszawa Bieganie","5.14","298","00:27:41","168","186","167","249","5:23","4:51","13","7","1.11","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:42.99","6","0.0","00:27:40","00:27:41","166","177"
