Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Resort Skiing/Snowboarding,2022-03-08 11:20:18,false,"Grindelwald Resort Snowboarding","34.98","500","01:15:34","118","151","1.1","--","--","27.8","59.6","--","7,667","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","21.0","0:00","No","01:02.00","18","0.0","--","--","--","01:14:24","05:10:28","1,174","2,504"
Resort Skiing/Snowboarding,2022-03-07 11:55:46,false,"Grindelwald Resort Snowboarding","42.73","672","01:41:57","120","158","1.2","--","--","25.1","53.5","--","9,801","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","23.0","0:00","No","03:06.00","19","0.0","--","--","--","01:40:23","04:56:13","929","2,398"
Resort Skiing/Snowboarding,2022-03-05 12:25:00,false,"Engelberg Resort Snowboarding","19.53","387","00:56:24","121","153","1.3","--","--","20.8","44.9","--","5,267","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","21.0","0:00","No","00:44.00","9","0.0","--","--","--","00:55:50","02:36:36","1,093","2,426"
Resort Skiing/Snowboarding,2022-03-04 13:08:25,false,"Engelberg Resort Snowboarding","21.67","427","01:15:20","114","140","0.9","--","--","17.3","52.9","--","6,931","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","01:24.00","12","0.0","--","--","--","01:11:07","03:05:30","-119","3,114"
Cardio,2022-03-01 19:15:43,false,"Squash","0.00","480","00:58:29","133","163","2.3","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","26.0","0:00","No","58:28.70","1","0.0","--","--","--","00:00:00","00:58:29","423","429"
Resort Skiing/Snowboarding,2022-02-27 11:00:13,false,"Davos Resort Skiing","31.10","372","00:59:46","116","145","1.0","--","--","31.2","64.3","--","6,630","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","15.0","0:00","No","02:37.00","11","0.0","--","--","--","00:58:31","05:17:20","-432","938"
Walking,2022-02-26 15:39:09,false,"Otelfingen Walking","4.54","304","00:54:10","107","136","1.1","98","116","11:56","7:44","74","71","0.85","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","23.0","0:00","No","06:08.92","5","0.0","--","--","--","00:51:17","00:54:10","440","503"
Cardio,2022-02-21 19:18:14,false,"Squash","0.00","615","01:14:06","136","175","3.0","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","01:14:05.100","1","0.0","--","--","--","00:00:00","01:14:06","413","423"
Cardio,2022-02-17 19:36:28,false,"Squash","0.00","406","00:50:02","134","178","2.9","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","26.0","0:00","No","50:01.68","1","0.0","--","--","--","00:00:00","00:50:02","420","425"
Running,2022-02-12 16:35:14,false,"Otelfingen Running","12.28","865","01:13:34","153","177","4.0","167","195","5:59","3:22","315","307","1.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","10.0","0:00","No","02:07.26","13","0.0","--","--","--","01:12:55","01:13:34","442","581"
Cardio,2022-02-08 20:15:20,false,"Squash","0.00","122","00:14:24","128","160","1.2","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","14:23.84","1","0.0","--","--","--","00:00:00","00:14:24","396","400"
Cardio,2022-02-08 19:22:27,false,"Squash","0.00","403","00:40:30","144","178","3.0","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","40:30.28","1","0.0","--","--","--","00:00:00","00:40:30","395","399"
Cardio,2022-01-31 20:08:59,false,"Squash","0.00","229","00:23:22","144","173","2.5","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","26.0","0:00","No","23:22.06","1","0.0","--","--","--","00:00:00","00:23:22","-500","-500"
Cardio,2022-01-31 19:20:27,false,"Squash","0.00","522","00:48:20","149","181","3.3","--","--","--","--","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","24.0","0:00","No","48:19.83","1","0.0","--","--","--","00:00:00","00:48:20","-500","-500"
Resort Skiing/Snowboarding,2022-01-30 12:46:22,false,"Engelberg Resort Snowboarding","30.27","495","01:24:16","114","140","1.0","--","--","21.6","54.2","--","7,622","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","24.0","0:00","No","01:22.00","16","0.0","--","--","--","01:21:33","03:26:58","-141","1,191"
