Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Stand Up Paddleboarding,2021-09-11 15:41:14,false,"Weesen SUP","20.34","1,172","03:41:14","109","165","3.0","--","--","10:53","7:36","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","7174","--","--","0:00","25.0","0:00","No","04:17.95","21","0.0","--","--","--","00:00:00","03:41:14","--","--"
Pool Swimming,2021-09-09 19:21:14,false,"Pool Swimming","1,000","216","00:19:15","--","--","--","--","--","1:55","1:35","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","480","41","25","0:00","27.0","0:00","No","01:00.37","11","0.0","--","--","--","00:00:00","00:37:39","--","--"
Tennis,2021-09-07 19:25:05,false,"Squash","0.24","473","01:16:15","112","162","1.4","12","209","0.2","11.9","27","44","0.26","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","01:16:15.33","1","0.0","--","--","--","00:00:00","01:16:15","397","416"
Running,2021-09-06 19:24:22,false,"Otelfingen Running","6.01","457","00:34:25","158","172","4.4","165","180","5:44","4:23","93","107","1.06","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","21.0","0:00","No","00:02.92","7","0.0","--","--","--","00:34:24","00:34:31","423","489"
Tennis,2021-09-06 11:36:50,false,"Squash","0.09","229","00:45:05","99","135","0.6","10","221","0.1","8.4","--","6","0.20","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","45:05.20","1","0.0","--","--","--","00:00:00","00:45:05","424","427"
Stand Up Paddleboarding,2021-09-05 17:01:33,false,"Zurich SUP","5.21","362","01:02:41","104","129","0.8","--","--","12:03","1:42","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","1610","--","--","0:00","26.0","0:00","No","02:48.24","6","0.0","--","--","--","00:00:00","01:02:41","--","--"
Hiking,2021-09-04 12:30:23,false,"Göschenen Hiking","15.69","2,032","05:18:07","114","159","3.4","66","215","20:17","7:54","853","903","0.75","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","18.0","0:00","No","05:18:06.96","1","0.0","--","--","--","00:00:00","06:35:26","1,780","2,351"
Tennis,2021-09-03 11:34:36,false,"Squash","0.19","314","00:46:15","116","158","2.2","--","--","0.2","10.8","37","25","0.64","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","46:15.00","1","0.0","--","--","--","00:00:00","00:46:15","391","414"
Wind/Kite Surfing,2021-08-29 14:21:24,false,"Sibenik Windsurfing","11.01","586","01:48:18","103","128","0.9","--","--","6.1","21.0","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","23.0","0:00","No","00:10.00","12","0.0","--","--","--","00:00:00","01:48:18","--","--"
Open Water Swimming,2021-08-28 18:09:10,false,"Makarska Open Water Swimming","105","102","00:05:49.5","--","--","--","--","--","5:32","0:20","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","149","118","25","0:00","25.0","0:00","No","05:49.46","1","0.0","--","--","--","00:00:00","00:05:49.5","--","--"
Mountaineering,2021-08-28 13:00:35,false,"Omis Climb","1.01","224","00:38:29","113","151","2.3","--","--","1.6","16.5","201","67","1.66","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","28.0","0:00","No","38:29.00","1","0.0","--","--","--","00:00:00","00:38:29","198","339"
Tennis,2021-08-23 11:26:37,false,"Squash","0.20","240","00:45:26","98","154","1.0","13","245","0.3","19.1","67","4","0.34","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","45:26.48","1","0.0","--","--","--","00:00:00","00:45:26","365","432"
Stand Up Paddleboarding,2021-08-22 14:47:10,false,"Lugano SUP","3.39","276","00:56:18","95","116","0.5","--","--","16:38","5:58","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","955","--","--","0:00","29.0","0:00","No","06:34.15","4","0.0","--","--","--","00:00:00","00:56:18","--","--"
Stand Up Paddleboarding,2021-08-22 13:15:40,false,"Lugano SUP","7.15","402","01:16:19","101","121","0.5","--","--","10:41","8:09","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","2253","--","--","0:00","29.0","0:00","No","02:03.43","8","0.0","--","--","--","00:00:00","01:16:53","--","--"
Road Cycling,2021-08-21 12:09:40,false,"Zurich Road Cycling","63.12","1,264","03:03:58","119","156","3.1","--","--","20.6","52.0","759","730","0.00","0.0","0.0","77","119","0.0","0.0","0.0","10786","--","--","0:00","24.0","0:00","No","15:32.16","8","0.0","25","13","37","02:53:47","03:22:44","415","747"
Road Cycling,2021-08-20 11:31:19,false,"Realp Road Cycling","96.22","2,964","06:41:26","120","174","5.0","--","--","14.4","59.3","2,673","2,979","0.00","0.0","0.0","63","145","0.0","0.0","0.0","18302","--","--","0:00","10.0","0:00","No","11:16.94","12","0.0","26","14","43","06:10:41","09:22:16","1,161","2,444"
Road Cycling,2021-08-20 10:51:08,false,"Andermatt Road Cycling","11.62","425","00:37:58","135","167","3.6","--","--","18.4","36.2","327","17","0.00","0.0","0.0","78","111","0.0","0.0","0.0","2878","--","--","0:00","20.0","0:00","No","18:57.73","2","0.0","28","16","40","00:37:54","00:37:58","1,440","1,747"
Road Cycling,2021-08-20 10:51:00,false,"Andermatt Road Cycling","107.88","3,389","10:02:33","110","174","--","--","--","10.7","59.3","3,415","3,414","0.00","0.0","0.0","65","145","0.0","0.0","0.0","--","--","--","0:00","10.0","0:00","No","10:02:33.00","1","0.0","--","--","--","00:00:00","10:02:33","1,149","2,486"
Tennis,2021-08-18 19:09:40,false,"Squash","0.15","557","01:23:20","113","161","2.2","9","246","0.1","20.8","39","60","0.19","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","01:23:19.56","1","0.0","--","--","--","00:00:00","01:23:20","341","387"
Tennis,2021-08-16 11:30:51,false,"Squash","0.06","335","00:46:22","115","154","1.2","8","234","0.1","9.7","--","17","0.16","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","27.0","0:00","No","46:21.83","1","0.0","--","--","--","00:00:00","00:46:22","348","367"
Road Cycling,2021-08-15 12:37:11,false,"Schangnau Road Cycling","54.56","2,524","03:42:32","--","--","--","--","--","14.7","59.6","1,358","1,342","0.00","0.0","0.0","67","112","0.0","0.0","0.0","10527","--","--","0:00","25.0","0:00","No","14:48.42","7","0.0","--","--","--","03:26:12","05:15:59","612","1,192"
Gravel/Unpaved Cycling,2021-08-13 17:02:50,false,"Kornik Gravel/Unpaved Cycling","27.40","583","01:16:00","121","164","2.7","--","--","21.6","40.4","97","91","0.00","0.0","0.0","82","128","0.0","0.0","0.0","5770","--","--","0:00","24.0","0:00","No","01:15:59.74","1","0.0","25","17","34","01:13:45","01:21:08","66","93"
Tennis,2021-08-12 19:04:26,false,"Squash","0.09","301","00:57:06","100","142","1.0","8","210","0.1","8.4","--","--","0.21","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","26.0","0:00","No","57:05.76","1","0.0","--","--","--","00:00:00","00:57:06","63","66"
Road Cycling,2021-08-12 16:30:46,false,"Kornik Road Cycling","31.66","1,271","01:02:40","--","--","--","--","--","30.3","43.4","87","84","0.00","0.0","0.0","84","118","0.0","0.0","0.0","5152","--","--","0:00","23.0","0:00","No","15:03.40","4","0.0","--","--","--","01:02:30","01:02:40","62","121"
Gravel/Unpaved Cycling,2021-08-11 17:20:10,false,"Tarnowo Podgorne Gravel/Unpaved Cycling","40.15","1,075","02:24:53","--","--","--","--","--","16.6","32.9","163","165","0.00","0.0","0.0","66","108","0.0","0.0","0.0","7685","--","--","0:00","19.0","0:00","No","02:24:52.73","1","0.0","--","--","--","02:20:42","02:38:25","76","96"
Road Cycling,2021-08-09 18:17:22,false,"Swarzedz Road Cycling","51.45","1,603","01:49:30","121","152","2.5","--","--","28.2","44.4","219","215","0.00","0.0","0.0","83","120","0.0","0.0","0.0","8603","--","--","0:00","18.0","0:00","No","07:08.18","7","0.0","25","18","35","01:48:50","02:12:29","68","117"
Gravel/Unpaved Cycling,2021-08-08 18:09:18,false,"Kornik Gravel/Unpaved Cycling","24.53","706","01:15:21","127","180","3.2","--","--","19.5","40.8","76","80","0.00","0.0","0.0","72","122","0.0","0.0","0.0","4680","--","--","0:00","21.0","0:00","No","03:56.72","4","0.0","27","18","41","01:11:17","01:34:52","65","85"
Walking,2021-08-06 19:01:15,false,"Otelfingen Walking","6.01","438","01:22:22","99","127","0.5","84","158","13:42","9:52","133","136","0.87","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","23.0","0:00","No","00:05.32","7","0.0","--","--","--","01:14:32","01:22:22","429","503"
Road Cycling,2021-08-05 19:13:50,false,"Otelfingen Road Cycling","29.59","1,132","01:18:44","--","--","--","--","--","22.5","52.0","399","406","0.00","0.0","0.0","82","108","0.0","0.0","0.0","5498","--","--","0:00","16.0","0:00","No","15:22.68","4","0.0","--","--","--","01:17:45","01:19:15","363","629"
Gravel/Unpaved Cycling,2021-07-31 11:35:25,false,"Aigle Gravel/Unpaved Cycling","57.69","2,290","04:33:37","136","176","5.0","--","--","12.7","53.7","1,439","1,418","0.00","0.0","0.0","67","244","0.0","0.0","0.0","11470","--","--","0:00","16.0","0:00","No","04:33:37.41","1","0.0","29","11","41","03:39:41","04:38:14","413","1,528"
Tennis,2021-07-29 12:11:35,false,"Squash","0.06","216","00:50:21","87","134","0.7","--","--","0.1","5.8","47","64","0.37","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","26.0","0:00","No","50:20.100","1","0.0","--","--","--","00:01:38","00:50:21","454","474"
Tennis,2021-07-28 19:25:30,false,"Squash","0.08","422","01:11:55","105","139","1.3","5","243","0.1","14.7","20","35","0.24","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","01:11:54.86","1","0.0","--","--","--","00:01:32","01:11:55","428","469"
Mountaineering,2021-07-24 12:58:41,false,"Schwyz Climb","13.59","1,660","06:15:40","89","156","2.0","48","223","2.2","38.6","829","875","0.76","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","19.0","0:00","No","06:15:39.95","1","0.0","--","--","--","03:27:58","06:15:41","1,307","1,941"
Road Cycling,2021-07-21 19:16:50,false,"Zurich Road Cycling","38.29","1,580","01:51:02","--","--","--","--","--","20.7","55.4","599","603","0.00","0.0","0.0","78","111","0.0","0.0","0.0","6966","--","--","0:00","18.0","0:00","No","15:05.97","5","0.0","--","--","--","01:47:52","01:53:46","422","773"
Tennis,2021-07-19 11:45:14,false,"Squash","0.13","219","00:36:08","103","132","0.9","11","160","0.2","7.7","13","11","0.32","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","36:08.49","1","0.0","--","--","--","00:02:21","00:36:08","427","442"
Gravel/Unpaved Cycling,2021-07-18 13:37:37,false,"Val-de-Travers Gravel/Unpaved Cycling","29.28","590","01:16:39","119","157","2.7","--","--","22.9","57.5","245","1,169","0.00","0.0","0.0","65","118","0.0","0.0","0.0","2806","--","--","0:00","22.0","0:00","No","01:16:38.85","1","0.0","25","17","37","01:13:08","01:16:39","469","1,398"
Gravel/Unpaved Cycling,2021-07-18 10:29:27,false,"Cortaillod Gravel/Unpaved Cycling","29.52","1,478","02:19:16","140","173","4.8","--","--","12.7","45.6","1,104","168","0.00","0.0","0.0","74","112","0.0","0.0","0.0","9514","--","--","0:00","18.0","0:00","No","02:19:15.90","1","0.0","29","19","41","02:17:07","02:54:48","433","1,375"
Running,2021-07-17 13:09:02,false,"Otelfingen Running","5.68","524","00:38:27","153","179","4.4","154","175","6:46","5:00","128","137","0.96","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","24.0","0:00","No","04:34.27","6","0.0","--","--","--","00:37:38","00:38:27","427","557"
Cycling,2021-07-11 11:32:57,false,"Zernez Cycling","73.30","2,146","04:31:19","135","173","0.0","--","--","16.2","54.1","1,381","1,003","0.00","0.0","0.0","72","125","0.0","0.0","0.0","15208","--","--","0:00","20.0","0:00","No","00:19.29","16","0.0","--","--","--","03:58:45","05:32:19","1,490","2,327"
Mountaineering,2021-07-10 11:34:44,false,"Realp Climb","3.02","652","01:51:03","105","156","2.1","32","158","1.6","6.8","265","268","0.86","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","19.0","0:00","No","01:51:02.50","1","0.0","--","--","--","00:57:34","07:52:13","1,443","2,685"
Road Cycling,2021-07-03 13:54:41,false,"Otelfingen Road Cycling","48.51","911","02:29:58","107","152","2.5","--","--","19.4","47.9","793","794","0.00","0.0","0.0","76","117","0.0","0.0","0.0","9069","--","--","0:00","22.0","0:00","No","01:18.84","7","0.0","23","15","37","02:27:43","02:46:20","348","629"
Tennis,2021-06-28 19:33:07,false,"Squash","0.09","335","00:44:45","119","166","2.5","8","217","0.1","10.4","6","14","0.24","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","28.0","0:00","No","44:45.41","1","0.0","--","--","--","00:01:19","00:44:45","415","442"
Stand Up Paddleboarding,2021-06-27 18:08:19,false,"Biel/Bienne SUP","11.00","719","02:06:16","113","156","2.0","--","--","11:29","8:18","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","3727","--","--","0:00","25.0","0:00","No","00:04.70","12","0.0","--","--","--","02:02:08","02:06:16","--","--"
Whitewater Kayaking/Rafting,2021-06-20 09:52:31,false,"Lidzbark Kayak","17.84","1,108","04:26:46","96","136","0.7","--","--","4.0","9.9","138","138","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","28.0","0:00","No","04:26:46.40","1","0.0","--","--","--","03:23:56","06:13:20","17","184"
Whitewater Kayaking/Rafting,2021-06-19 09:59:12,false,"Lidzbark Kayak","14.73","938","04:05:04","90","115","0.3","--","--","3.6","9.8","92","63","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","29.0","0:00","No","04:05:03.58","1","0.0","--","--","--","03:03:22","04:52:10","120","149"
Tennis,2021-06-17 20:04:45,false,"Squash","0.15","362","00:56:56","110","153","1.5","10","234","0.2","12.2","12","23","0.26","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","27.0","0:00","No","56:55.71","1","0.0","--","--","--","00:02:39","00:56:56","140","163"
Cycling,2021-06-10 19:27:28,false,"Otelfingen Cycling","29.60","703","01:16:56","134","182","--","--","--","23.1","46.4","408","409","0.00","0.0","0.0","81","117","0.0","0.0","0.0","5354","--","--","0:00","0.0","0:00","No","14:25.21","4","0.0","--","--","--","01:15:50","01:16:56","362","655"
Running,2021-06-02 23:33:05,false,"Boleslawiec (Gmina) Running","1.01","58","00:05:01.3","141","153","1.8","166","200","4:58","3:30","2","5","1.23","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","23.0","0:00","No","00:05.03","2","0.0","--","--","--","00:04:58.3","00:05:01.3","214","220"
Mountain Biking,2021-05-23 12:18:37,false,"Komorniki Mountain Biking","24.79","618","01:41:36","120","153","1.8","--","--","14.6","37.1","183","188","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","17.0","0:00","No","15:04.96","5","0.0","--","--","--","01:23:58","01:51:44","382","442"
Tennis,2021-05-19 19:12:43,false,"Squash","0.13","415","01:23:25","102","143","1.2","6","243","0.1","12.1","3","16","0.27","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","01:23:24.64","1","0.0","--","--","--","00:04:05","01:23:25","687","698"
Cycling,2021-05-16 10:55:13,false,"Lucerne Cycling","23.82","539","01:18:38","115","153","--","--","--","18.2","50.6","213","211","0.00","0.0","0.0","65","105","0.0","0.0","0.0","3959","--","--","0:00","0.0","0:00","No","23:58.38","3","0.0","--","--","--","01:17:33","01:51:13","432","475"
Cycling,2021-05-13 12:28:07,false,"Ponte Tresa Cycling","51.98","1,421","02:56:07","127","169","--","--","--","17.7","55.4","1,040","1,033","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","11:58.22","7","0.0","--","--","--","02:53:36","04:30:28","194","643"
Tennis,2021-05-10 19:14:38,false,"Squash","0.13","500","01:30:22","109","144","1.5","8","243","0.1","11.0","11","24","0.18","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","No","01:30:21.79","1","0.0","--","--","--","00:04:05","01:30:22","727","744"
Cycling,2021-05-09 17:51:21,false,"Zurich Cycling","18.61","862","01:36:16","132","176","--","--","--","11.6","59.7","587","590","0.00","0.0","0.0","68","139","0.0","0.0","0.0","4863","--","--","0:00","0.0","0:00","No","07:30.97","3","0.0","--","--","--","01:35:38","02:20:56","427","861"
Tennis,2021-04-26 11:34:53,false,"Squash","0.07","307","00:52:49","108","146","1.0","10","234","0.1","9.4","--","17","0.14","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","22.0","0:00","No","52:48.68","1","0.0","--","--","--","00:00:38","00:52:49","612","633"
Cycling,2021-04-24 15:12:37,false,"Fällanden Cycling","48.50","802","02:49:30","89","129","--","--","--","17.2","49.5","673","676","0.00","0.0","0.0","63","123","0.0","0.0","0.0","8002","--","--","0:00","0.0","0:00","No","02:28.34","7","0.0","--","--","--","02:48:31","04:37:23","436","731"
Tennis,2021-04-19 11:41:01,false,"Squash","0.24","410","01:18:25","107","140","1.2","13","231","0.2","9.7","1","27","0.25","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","20.0","0:00","No","01:18:24.81","1","0.0","--","--","--","00:05:23","01:18:25","578","598"
Backcountry Skiing/Snowboarding,2021-04-10 08:16:13,false,"Muotathal Cross Country Classic Skiing","20.73","2,183","06:20:59","118","176","4.2","36","190","3.3","36.8","1,550","1,547","4.62","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","15.0","0:00","No","06:24.76","21","0.0","--","--","--","04:19:42","06:20:59","1,195","2,672"
Backcountry Skiing/Snowboarding,2021-04-05 11:12:41,false,"Engelberg Cross Country Classic Skiing","3.91","467","01:56:16","92","148","1.9","9","190","2.0","38.3","517","509","6.18","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","15.0","0:00","No","00:01.29","5","0.0","--","--","--","01:02:32","01:56:16","420","2,464"
Cycling,2021-04-02 15:45:16,false,"Cycling","45.56","1,336","02:04:40","147","186","--","--","--","21.9","52.5","506","460","0.00","0.0","0.0","78","120","0.0","0.0","0.0","8260","--","--","0:00","0.0","0:00","No","10:52.42","6","0.0","--","--","--","02:04:22","02:11:52","356","630"
Resort Skiing/Snowboarding,2021-03-12 10:05:09,false,"Saxon Resort Skiing/Snowboarding","38.04","598","01:55:36","105","159","1.6","--","--","19.7","46.4","--","8,103","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","22.0","0:00","No","02:30.00","15","0.0","--","--","--","01:54:35","05:14:59","1,546","2,811"
Resort Skiing/Snowboarding,2021-03-11 09:58:28,false,"Bagnes Resort Skiing/Snowboarding","48.50","662","02:14:44","99","159","2.5","--","--","21.6","55.5","--","9,643","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","22.0","0:00","No","01:26.00","18","0.0","--","--","--","02:13:42","04:43:19","1,369","3,320"
Running,2021-03-08 17:45:10,false,"Otelfingen Running","5.45","467","00:37:57","155","174","3.8","158","192","6:58","4:07","135","151","0.91","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","17.0","0:00","No","03:14.23","6","0.0","--","--","--","00:37:55","00:37:57","421","563"
Backcountry Skiing/Snowboarding,2021-03-07 10:31:29,false,"Engelberg Cross Country Classic Skiing","5.44","785","03:27:11","90","147","1.3","6","203","1.6","22.7","667","652","6.22","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","12.0","0:00","No","08:39.14","6","0.0","--","--","--","01:21:13","03:27:11","2,713","3,297"
Cycling,2021-02-28 14:09:55,false,"Lucerne Cycling","46.34","960","01:54:18","137","172","2.8","--","--","24.3","51.7","348","353","0.00","0.0","0.0","72","107","0.0","0.0","0.0","7585","--","--","0:00","9.0","0:00","No","03:56.14","10","0.0","--","--","--","01:49:50","01:54:18","1,277","1,443"
Tennis,2021-02-14 10:07:38,false,"Squash","0.16","266","00:58:24","94","136","0.6","10","243","0.2","18.5","3","12","0.28","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","20.0","0:00","No","58:24.04","1","0.0","--","--","--","00:01:36","00:58:24","854","854"
Resort Skiing/Snowboarding,2021-02-07 13:38:53,false,"Quarten Resort Skiing/Snowboarding","14.78","250","00:48:23","103","144","1.2","--","--","18.3","42.9","--","3,007","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","19.0","0:00","No","02:12.84","8","0.0","--","--","--","00:47:22","01:56:25","1,831","2,677"
Backcountry Skiing/Snowboarding,2021-02-06 09:52:24,false,"Glarus Süd Cross Country Classic Skiing","14.92","1,727","05:43:54","107","178","3.8","20","225","2.6","35.7","1,414","1,408","7.63","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","16.0","0:00","No","02:14.71","15","0.0","--","--","--","03:20:20","05:43:54","1,629","2,997"
Resort Skiing/Snowboarding,2021-01-24 11:28:42,false,"Grindelwald Resort Skiing/Snowboarding","30.46","504","01:36:19","103","132","0.9","--","--","19.0","46.1","--","5,821","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","18.0","0:00","No","01:01.01","12","0.0","--","--","--","01:34:31","04:23:00","1,386","2,905"
Resort Skiing/Snowboarding,2021-01-23 12:25:56,false,"Lauterbrunnen Resort Skiing/Snowboarding","26.75","525","01:48:04","106","146","2.0","--","--","14.9","42.7","--","5,473","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","19.0","0:00","No","06:08.00","10","0.0","--","--","--","01:46:24","03:30:53","1,289","2,768"
Resort Skiing/Snowboarding,2021-01-22 11:58:37,false,"Vaz/Obervaz Resort Skiing/Snowboarding","29.23","437","01:28:15","100","136","1.1","--","--","19.9","51.2","--","6,821","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","22.0","0:00","No","03:24.00","13","0.0","--","--","--","01:26:56","03:22:20","1,748","2,563"
Resort Skiing/Snowboarding,2021-01-16 10:31:59,false,"Oberiberg Resort Skiing/Snowboarding","22.12","350","01:16:17","102","141","0.9","--","--","17.4","53.6","--","3,931","0.00","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","18.0","0:00","No","02:14.01","13","0.0","--","--","--","01:14:08","05:17:23","1,372","2,143"
Cross Country Classic Skiing,2021-01-14 20:28:02,false,"Zurich Cross Country Classic Skiing","10.02","919","02:47:20","105","176","4.0","35","217","3.6","21.9","476","478","4.48","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","19.0","0:00","No","00:04.19","11","0.0","--","--","--","01:36:40","02:47:20","668","1,129"
Cross Country Classic Skiing,2021-01-10 10:29:58,false,"Davos Cross Country Classic Skiing","9.04","1,252","05:12:06","91","170","2.0","6","203","1.7","32.8","894","937","6.75","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","9.0","0:00","No","00:05.27","10","0.0","--","--","--","02:18:23","05:12:06","2,236","3,132"
Tennis,2020-12-14 10:45:49,false,"Squash","0.08","90","00:47:46","91","125","0.3","10","172","0.1","6.6","1","6","0.15","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","22.0","0:00","No","19:46.16","1","0.0","--","--","--","00:01:07","00:19:46","563","580"
Hiking,2020-12-12 14:07:54,false,"Zurich Hiking","9.69","899","02:30:00","111","171","3.7","--","--","15:29","7:00","434","471","1.69","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","20.0","0:00","No","02:30:00.00","1","0.0","--","--","--","02:05:35","02:30:00","616","1,082"
Tennis,2020-12-07 19:36:59,false,"Squash","0.07","332","00:56:04","107","139","1.2","6","210","0.1","12.1","2","5","0.21","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","23.0","0:00","No","56:03.64","1","0.0","--","--","--","00:01:24","00:56:04","625","633"
Tennis,2020-12-02 19:21:40,false,"Squash","0.18","360","01:20:00","106","149","1.6","--","--","0.1","18.5","17","20","0.59","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","24.0","0:00","No","01:19:59.100","1","0.0","--","--","--","00:02:59","01:20:00","600","609"
Tennis,2020-11-30 11:34:17,false,"Squash","0.10","263","00:47:10","103","142","0.7","10","213","0.1","10.3","2","5","0.21","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","23.0","0:00","No","47:09.99","1","0.0","--","--","--","00:01:31","00:47:10","558","561"
Pool Swimming,2020-11-29 17:40:10,false,"Pool Swimming","2,125","615","00:43:31","--","--","--","--","--","2:01","0:48","--","--","0.00","0.0","0.0","--","--","0.0","0.0","0.0","910","41","21","0:00","26.0","0:00","No","01:59.28","8","0.0","--","--","--","00:42:53","00:51:33","--","--"
Tennis,2020-11-25 19:18:07,false,"Squash","0.12","439","01:37:08","95","132","0.5","6","203","0.1","15.2","--","7","0.19","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","23.0","0:00","No","01:37:08.08","1","0.0","--","--","--","00:02:34","01:37:08","557","566"
Cycling,2020-11-22 11:13:58,false,"Baar Cycling","43.96","1,739","02:39:09","--","--","--","--","--","16.6","42.4","1,118","1,121","0.00","0.0","0.0","64","104","0.0","0.0","0.0","8026","--","--","0:00","0.0","0:00","No","10:58.12","6","0.0","--","--","--","02:38:15","04:25:21","440","1,143"
Hiking,2020-11-21 09:30:04,false,"Glarus Süd Hiking","13.17","1,633","07:14:45","90","171","4.1","--","--","33:00","9:49","1,313","1,328","1.79","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","9.0","0:00","No","07:14:45.00","1","0.0","--","--","--","03:26:46","07:14:45","1,383","2,652"
Tennis,2020-11-16 19:19:43,false,"Squash","0.17","520","01:26:31","108","166","2.3","7","243","0.1","16.2","1","14","0.27","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","24.0","0:00","No","01:26:30.83","1","0.0","--","--","--","00:01:52","01:26:31","496","503"
Tennis,2020-11-16 11:39:17,false,"Squash","0.05","185","00:38:28","95","146","0.6","8","160","0.1","8.9","--","4","0.15","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","23.0","0:00","No","38:27.99","1","0.0","--","--","--","00:01:00","00:38:28","493","493"
Cycling,2020-11-15 12:03:40,false,"Tamins Cycling","47.22","536","02:20:16","88","123","--","--","--","20.2","64.8","1,317","1,324","0.00","0.0","0.0","73","116","0.0","0.0","0.0","8446","--","--","0:00","0.0","0:00","No","15:53.84","6","0.0","--","--","--","02:19:25","03:22:18","590","1,125"
Tennis,2020-11-09 11:44:20,false,"Squash","0.06","295","00:35:31","125","156","2.4","10","179","0.1","12.1","1","1","0.18","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","0:00","23.0","0:00","No","35:31.39","1","0.0","--","--","--","00:01:57","00:35:31","469","469"
