Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Kalorie,Czas,Średnie tętno,Maksymalne tętno,Aerobowy TE,Średni rytm biegu,Maksymalny rytm biegu,Średnia prędkość,Maksymalna prędkość,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Training Stress Score® (TSS®),Trudność,Płynność,Łącznie ruchów,Średni Swolf,Średnie tempo ruchów,Czas nurkowania,Minimalna temperatura,Przerwa powierzchniowa,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Bieganie,2022-02-26 10:37:58,false,"Gdańsk Bieganie","15.01","1,162","01:20:56","167","189","5.0","165","170","5:24","4:58","16","17","1.12","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","10.0","0:00","Nie","00:03.11","16","0.0","01:20:51","01:20:56","1","5"
Bieganie,2022-02-23 18:41:46,false,"Gdańsk Bieganie","10.30","789","00:55:32","159","175","5.0","164","170","5:24","5:10","15","15","1.13","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","9.0","0:00","Nie","01:38.86","11","0.0","00:55:30","00:55:32","2","7"
Bieganie,2022-02-20 08:05:08,false,"Gdańsk Bieganie","10.01","786","00:57:23","157","171","5.0","163","167","5:44","4:53","105","104","1.07","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","8.0","0:00","Nie","00:01.80","11","0.0","00:57:18","00:57:23","51","152"
Chodzenie,2022-02-14 09:51:53,false,"Gdańsk Chodzenie","0.16","21","00:02:39.1","112","129","0.2","91","133","16:28","7:17","13","1","0.67","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","19.0","0:00","Nie","02:39.06","1","0.0","00:02:00","00:02:39.1","150","162"
Bieganie,2022-02-13 13:24:42,false,"Gdańsk Bieganie","8.73","681","00:49:29","156","179","4.9","162","169","5:40","5:04","107","97","1.09","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","10.0","0:00","Nie","04:04.93","9","0.0","00:49:26","00:51:36","60","159"
Bieganie,2022-02-10 18:21:29,false,"Gdańsk Bieganie","6.33","508","00:34:35","162","178","4.5","161","167","5:28","4:59","28","25","1.13","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","9.0","0:00","Nie","01:48.32","7","0.0","00:34:34","00:34:35","145","155"
Bieganie,2022-02-06 15:43:19,false,"Gdańsk Bieganie","5.42","438","00:29:39","166","176","4.2","163","167","5:28","5:11","33","26","1.12","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","12.0","0:00","Nie","02:22.97","6","0.0","00:29:37","00:29:39","146","158"
Bieganie,2022-02-05 10:44:08,false,"Gdańsk Bieganie","10.01","812","00:59:59","164","179","4.8","163","168","6:00","5:13","119","108","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","8.0","0:00","Nie","00:02.66","11","0.0","00:59:53","01:00:10","51","153"
Bieg na bieżni,2022-01-27 19:19:47,false,"Bieg na bieżni","5.04","257","00:20:18","166","174","3.5","152","171","4:02","4:00","--","--","1.06","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","Nie","00:00.78","5","0.0","00:15:46","00:16:21","--","--"
Bieganie,2022-01-25 15:14:50,false,"Gdańsk - bieg z podbiegami","10.47","799","01:01:05","156","181","4.5","153","244","5:50","3:14","121","119","1.13","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","9.0","0:00","Nie","00:21.37","30","0.0","01:00:54","01:01:15","87","146"
Bieganie,2022-01-23 16:19:42,false,"Gdańsk Bieganie","12.21","966","01:04:36","165","181","5.0","165","171","5:17","4:38","10","9","1.15","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","8.0","0:00","Nie","01:12.52","13","0.0","01:04:32","01:04:36","3","7"
Chodzenie,2022-01-23 12:03:27,false,"Sopot Chodzenie","5.06","346","01:02:49","73","106","1.1","105","219","12:25","7:30","61","52","0.77","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","10.0","0:00","Nie","00:43.71","6","0.0","01:02:45","01:02:49","91","151"
Bieganie,2022-01-19 11:38:59,false,"Gdańsk Bieganie","11.24","855","01:07:24","161","185","4.0","165","181","6:00","4:59","129","112","1.01","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","8.0","0:00","Nie","01:23.59","12","0.0","01:07:13","01:07:24","93","164"
Bieganie,2022-01-16 11:36:57,false,"Gdańsk - Trening biegowy","10.02","704","00:54:03","164","196","5.0","166","171","5:24","4:47","13","13","1.12","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","6.0","0:00","Nie","00:05.33","11","0.0","00:54:00","00:54:03","5","10"
Bieganie,2022-01-15 11:21:11,false,"Gdańsk - bieg po plaskim","10.02","754","00:55:30","161","176","4.5","165","171","5:32","4:57","59","64","1.10","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","7.0","0:00","Nie","00:07.95","11","0.0","00:55:22","00:55:30","140","156"
Bieganie,2022-01-12 14:21:44,false,"Gdańsk Bieganie","11.36","883","01:06:48","161","188","4.3","165","169","5:53","5:03","130","115","1.03","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","7.0","0:00","Nie","02:00.22","12","0.0","01:06:37","01:06:48","91","163"
Chodzenie,2022-01-09 15:39:09,false,"Gdańsk Chodzenie","5.54","370","01:03:31","109","134","1.3","113","135","11:27","9:07","31","27","0.77","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","10.0","0:00","Nie","06:38.02","6","0.0","01:02:57","01:03:31","144","155"
Bieganie,2022-01-08 12:54:00,false,"Gdańsk Bieganie","5.01","390","00:26:57","162","182","3.7","165","169","5:23","2:26","27","25","1.13","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","8.0","0:00","Nie","00:01.32","6","0.0","00:26:55","00:26:57","145","155"
Bieganie,2022-01-06 18:26:41,false,"Gdańsk - Trening biegowy","10.01","764","00:53:00","165","187","5.0","165","174","5:18","4:40","17","15","1.14","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","5.0","0:00","Nie","00:02.68","11","0.0","00:52:52","00:53:00","3","7"
Bieganie,2022-01-02 12:17:01,false,"Gdańsk Bieganie","12.03","936","01:14:09","162","185","4.1","166","174","6:10","4:53","164","160","0.98","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","13.0","0:00","Nie","00:08.31","13","0.0","01:13:45","01:15:27","87","156"
Chodzenie,2022-01-01 11:42:13,false,"Gdańsk Chodzenie","4.85","309","01:04:35","92","104","0.7","105","121","13:19","11:14","14","15","0.71","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","12.0","0:00","Nie","11:08.27","5","0.0","01:03:35","01:04:35","149","157"
Chodzenie,2021-12-31 13:28:48,false,"Gdynia Chodzenie","3.51","64","00:07:25.3","114","131","0.8","--","--","2:07","0:29","51","16","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","24.0","0:00","Nie","00:36.21","4","0.0","00:05:38.0","00:07:25.3","121","164"
Bieganie,2021-12-31 11:55:12,false,"Gdańsk - bieg po plaskim","12.01","946","01:05:20","154","187","5.0","167","172","5:26","4:53","11","12","1.10","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","16.0","0:00","Nie","00:02.73","13","0.0","01:05:09","01:05:20","4","8"
Chodzenie,2021-12-31 11:16:17,false,"Gdańsk Chodzenie","14.48","88","00:34:32","75","102","0.1","5","186","2:23","0:46","38","206","79.82","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","25.0","0:00","Nie","01:06.70","15","0.0","00:22:59","00:34:32","14","183"
Bieganie,2021-12-29 11:36:43,false,"Gdańsk Bieganie","8.01","620","00:45:23","160","185","4.3","166","173","5:40","4:25","8","10","1.06","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","9.0","0:00","Nie","00:01.42","9","0.0","00:45:21","00:45:23","4","9"
Bieganie,2021-12-26 11:08:00,false,"Gdańsk Bieganie","9.42","731","00:53:25","157","179","4.7","166","226","5:40","5:01","46","50","1.07","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","10.0","0:00","Nie","02:32.45","10","0.0","00:53:15","00:53:30","134","153"
Bieganie,2021-12-21 20:34:00,false,"Gdańsk - bieg po plaskim","5.01","391","00:28:03","155","172","3.6","165","171","5:36","5:05","17","19","1.08","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","7.0","0:00","Nie","00:01.70","6","0.0","00:27:54","00:28:09","144","153"
