Typ aktywności,Data,Ulubiony,Tytuł,Dystans,Kalorie,Czas,Średnie tętno,Maksymalne tętno,Aerobowy TE,Średni rytm biegu,Maksymalny rytm biegu,Średnie tempo,Najlepsze tempo,Całkowity wznios,Całkowity spadek,Średnia długość kroku,Średnie odchylenie do długości,Średnie odchylenie pionowe,Training Stress Score® (TSS®),Trudność,Płynność,Łącznie ruchów,Średni Swolf,Średnie tempo ruchów,Razem powtórzeń,Razem serii,Czas nurkowania,Minimalna temperatura,Przerwa powierzchniowa,Dekompresja,Czas najlepszego okrążenia,Liczba okrążeń,Maksymalna temperatura,Średnia częstotliwość oddechu,Minimalna częstotliwość oddechu,Maksymalna częstotliwość oddechu,Zmiana poziomu stresu,Początek stresu,Koniec stresu,Czas ruchu,Upłynęło czasu,Minimalna wysokość,Maksymalna wysokość
Bieganie,2021-07-20 18:43:50,false,"Gdańsk Bieg","5.04","845","01:15:32","141","181","3.5","55","249","14:59","3:16","34","31","1.22","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:22.90","6","0.0","--","--","--","--","--","--","00:52:00","01:15:32","47","55"
Bieganie,2021-07-20 16:30:26,false,"Gdańsk Bieg","12.73","468","00:43:26","134","173","3.0","5","153","3:25","1:35","99","73","62.90","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","02:21.95","13","0.0","--","--","--","--","--","--","00:35:12","00:43:26","6","78"
Kolarstwo,2021-07-20 07:54:07,false,"Gdańsk Kolarstwo","11.51","337","00:40:35","116","142","1.7","--","--","17.0","39.2","24","41","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","08:22.39","3","0.0","--","--","--","--","--","--","00:32:17","00:40:35","5","36"
Kolarstwo,2021-07-19 15:46:34,false,"Gdańsk Kolarstwo","11.66","310","00:36:24","115","148","1.3","--","--","19.2","33.8","47","22","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","07:29.40","3","0.0","--","--","--","--","--","--","00:32:25","00:59:32","3","46"
Kolarstwo,2021-07-19 07:54:49,false,"Gdańsk Kolarstwo","12.84","316","00:44:51","110","145","1.3","--","--","17.2","38.8","60","85","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","13:34.00","3","0.0","--","--","--","--","--","--","00:36:49","00:44:51","6","78"
Kolarstwo,2021-07-15 18:28:01,false,"Gdańsk Kolarstwo","25.72","803","03:17:21","104","147","2.0","--","--","7.8","32.7","116","104","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","08:01.49","6","0.0","--","--","--","--","--","--","01:39:35","03:26:56","1","78"
Kolarstwo,2021-07-15 16:15:03,false,"Gdańsk Kolarstwo","11.59","398","00:39:35","124","150","2.1","--","--","17.6","31.2","35","12","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","08:01.89","3","0.0","--","--","--","--","--","--","00:34:38","00:39:35","6","48"
Kolarstwo,2021-07-15 07:57:39,false,"Gdańsk Kolarstwo","12.88","413","00:39:47","128","152","2.4","--","--","19.4","47.5","62","89","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","10:48.09","3","0.0","--","--","--","--","--","--","00:32:36","00:39:47","6","78"
Inne,2021-07-13 19:35:26,false,"Gdańsk Silka","2.67","314","00:49:48","100","146","1.3","29","199","3.2","28.2","10","9","10.49","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","08:34.44","3","0.0","--","--","--","--","--","--","00:29:09","00:49:48","62","71"
Kolarstwo,2021-07-11 10:41:07,false,"Gdańsk Kolarstwo","24.54","691","01:12:21","126","159","2.7","--","--","20.4","36.4","102","90","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","13:40.07","5","0.0","--","--","--","--","--","--","01:06:06","01:13:55","6","78"
Inne,2021-07-10 16:33:43,false,"Gdańsk Silka","0.44","227","00:33:33","105","125","0.8","16","199","0.8","11.6","1","1","0.81","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","33:32.87","1","0.0","--","--","--","--","--","--","00:03:16","00:33:33","63","66"
Bieganie,2021-07-06 18:41:54,false,"Gdańsk Bieg","5.32","966","01:17:40","149","183","3.9","60","249","14:36","3:02","9","10","1.15","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","03:56.65","6","0.0","--","--","--","--","--","--","00:56:31","01:17:40","59","63"
Inne,2021-07-05 18:42:22,false,"Gdańsk Silka","2.03","319","00:54:16","98","127","0.6","10","176","2.2","33.5","8","8","5.88","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:15.23","4","0.0","--","--","--","--","--","--","00:13:37","00:54:16","62","71"
Kolarstwo,2021-07-04 11:36:33,false,"Gdańsk Kolarstwo","43.19","1,049","03:33:01","94","156","1.3","--","--","12.2","34.3","88","112","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","15:08.92","9","0.0","--","--","--","--","--","--","02:55:29","04:52:37","-4","45"
Bieganie,2021-06-22 18:41:16,false,"Gdańsk Bieg","5.30","856","01:13:48","144","180","3.6","60","249","13:56","3:28","5","5","1.20","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","04:47.61","6","0.0","--","--","--","--","--","--","00:52:50","01:13:48","59","63"
Bieganie,2021-06-15 18:52:40,false,"Gdańsk Bieg","3.95","685","00:52:21","152","183","3.5","62","244","13:16","3:32","7","9","1.22","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","11:40.94","4","0.0","--","--","--","--","--","--","00:38:47","00:52:21","59","64"
Kolarstwo,2021-06-15 17:46:59,false,"Gdańsk Kolarstwo","9.83","363","00:36:49","122","157","2.3","--","--","16.0","36.7","60","14","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","14:41.80","2","0.0","--","--","--","--","--","--","00:31:09","00:36:49","6","67"
Bieganie,2021-06-08 18:41:12,false,"Gdańsk Bieg","4.14","793","00:59:38","153","183","4.0","50","249","14:24","3:33","36","36","1.40","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:27.89","5","0.0","--","--","--","--","--","--","00:41:45","00:59:38","47","55"
Kolarstwo,2021-06-08 17:40:38,false,"Gdańsk Kolarstwo","11.68","484","00:38:56","139","187","3.3","--","--","18.0","44.1","83","45","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","05:11.97","3","0.0","--","--","--","--","--","--","00:33:56","00:39:04","6","77"
Kolarstwo,2021-05-30 13:20:53,false,"Gdańsk Kolarstwo","27.15","1,066","02:41:00","113","143","2.0","--","--","10.1","43.0","320","261","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","11:18.43","6","0.0","--","--","--","--","--","--","02:00:22","02:41:00","20","158"
Bieganie,2021-05-25 18:39:08,false,"Gdańsk Bieg","6.05","566","01:21:13","114","149","2.0","61","249","13:26","2:14","3","3","1.25","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:31.94","7","0.0","--","--","--","--","--","--","01:04:34","01:21:13","60","63"
Kolarstwo,2021-05-10 09:49:52,false,"Choczewo Kolarstwo","106.66","4,096","08:31:49","129","163","4.9","--","--","12.5","42.2","518","507","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","12:58.77","22","0.0","--","--","--","--","--","--","06:43:41","08:31:49","-2","72"
Kolarstwo,2021-05-09 09:59:03,false,"Postomino Kolarstwo","119.51","4,665","09:28:32","131","172","5.0","--","--","12.6","44.8","332","348","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","11:48.89","24","0.0","--","--","--","--","--","--","07:30:22","10:40:04","-2","47"
Kolarstwo,2021-05-08 12:36:38,false,"Koszalin Kolarstwo","71.08","2,567","05:45:52","127","173","3.9","--","--","12.3","51.9","223","249","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","12:41.41","15","0.0","--","--","--","--","--","--","04:22:20","06:34:50","-7","50"
Bieganie,2021-04-24 15:10:29,false,"Gdańsk Bieg","5.11","598","01:12:50","126","177","3.1","56","235","14:15","2:29","11","10","1.28","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:12.67","6","0.0","--","--","--","--","--","--","00:49:54","01:12:50","59","63"
Kolarstwo,2021-04-21 17:43:20,false,"Gdańsk Kolarstwo","17.53","500","01:05:47","115","162","2.3","--","--","16.0","31.0","22","21","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","06:48.67","4","0.0","--","--","--","--","--","--","00:55:55","01:18:05","1","18"
Kolarstwo,2021-04-20 18:44:29,false,"Gdańsk Kolarstwo","16.12","578","00:48:18","140","170","3.4","--","--","20.0","33.5","51","52","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","07:26.49","4","0.0","--","--","--","--","--","--","00:42:45","00:48:18","-3","34"
Kolarstwo,2021-04-18 12:50:33,false,"Gdańsk Kolarstwo","23.02","633","01:36:34","109","141","1.3","--","--","14.3","24.3","89","89","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","12:17.92","5","0.0","--","--","--","--","--","--","01:27:50","02:04:20","1","21"
Kolarstwo,2021-04-11 09:57:28,false,"Gdańsk Kolarstwo","52.43","1,260","03:00:29","118","144","2.4","--","--","17.4","33.5","106","104","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","08:01.98","11","0.0","--","--","--","--","--","--","02:47:13","03:34:34","-12","20"
Kolarstwo,2021-03-30 17:10:12,false,"Gdańsk Kolarstwo","25.96","840","02:03:32","116","166","2.4","--","--","12.6","33.9","168","176","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","09:09.07","6","0.0","--","--","--","--","--","--","01:47:13","02:08:31","-2","78"
Kolarstwo,2021-03-27 11:21:35,false,"Rumia Kolarstwo","47.80","1,705","03:13:35","139","181","4.2","--","--","14.8","40.3","612","629","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","11:03.30","10","0.0","--","--","--","--","--","--","02:53:27","03:13:35","15","179"
Kardio,2021-03-13 12:08:49,false,"Cardio","0.00","630","00:53:06","145","179","3.5","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","53:06.38","1","0.0","--","--","--","--","--","--","00:00:00","00:53:06","--","--"
Bieganie,2021-02-28 12:42:07,false,"Gdańsk - Spokojny bieg","6.55","579","00:39:41","157","187","3.8","156","168","6:03","5:23","25","26","1.06","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:03.88","8","0.0","--","--","--","--","--","--","00:39:09","00:41:41","7","34"
Bieganie,2021-02-24 18:18:27,false,"Gdańsk - Serie z prawie sprintem","6.28","618","00:40:53","164","179","4.1","155","166","6:31","3:53","15","18","0.99","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:02.54","27","0.0","--","--","--","--","--","--","00:40:36","00:43:36","6","16"
Bieganie,2021-02-22 16:01:27,false,"Gdańsk - Spokojny bieg","4.57","452","00:28:58","164","176","3.8","157","205","6:20","4:58","11","5","1.01","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","03:43.51","6","0.0","--","--","--","--","--","--","00:28:48","00:29:51","10","25"
Bieganie,2021-02-06 15:04:26,false,"Gdańsk - Spokojny bieg","7.62","720","00:45:58","166","177","4.5","158","189","6:02","5:07","29","15","1.05","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:08.84","10","0.0","--","--","--","--","--","--","00:45:27","00:49:48","3","20"
Bieganie,2021-02-05 12:46:26,false,"Gdańsk - Serie z prawie sprintem","4.81","459","00:29:34","165","178","3.8","159","237","6:09","4:00","19","56","1.02","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:12.63","21","0.0","--","--","--","--","--","--","00:29:19","00:30:00","7","56"
Bieganie,2021-02-02 18:25:17,false,"Gdańsk - Spokojny bieg","5.83","584","00:38:35","162","174","3.9","158","221","6:37","5:14","24","21","0.96","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:15.35","8","0.0","--","--","--","--","--","--","00:38:14","00:40:51","5","20"
Bieganie,2021-01-28 16:56:37,false,"Gdańsk - Spokojny bieg","5.01","533","00:33:30","166","178","4.0","159","193","6:41","5:42","10","11","0.94","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:37.67","7","0.0","--","--","--","--","--","--","00:33:06","00:34:30","2","19"
Bieganie,2021-01-26 16:14:16,false,"Gdańsk - Spokojny bieg","5.03","551","00:31:40","176","184","4.6","158","199","6:18","4:53","47","49","1.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:40.46","7","0.0","--","--","--","--","--","--","00:31:31","00:31:40","7","33"
Bieganie,2021-01-04 16:06:44,false,"Gdańsk - Bieg wzorcowy","4.65","428","00:28:07","157","180","3.5","157","177","6:02","4:31","18","20","1.05","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:01.74","8","0.0","--","--","--","--","--","--","00:27:57","00:28:26","9","27"
Bieganie,2021-01-02 12:22:21,false,"Kolbudy Bieg","4.49","404","00:29:23","148","176","3.1","157","193","6:33","5:38","73","88","0.97","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","03:02.24","5","0.0","--","--","--","--","--","--","00:29:16","00:39:45","114","154"
Kolarstwo,2020-12-28 09:45:34,false,"Gdańsk Kolarstwo","31.04","1,256","02:24:31","134","174","3.6","--","--","12.9","39.3","342","337","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","05:11.39","7","0.0","--","--","--","--","--","--","01:55:22","02:28:39","14","159"
Kardio,2020-12-23 16:04:40,false,"Cardio","0.00","601","01:01:11","131","160","2.9","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:01:11.14","1","0.0","--","--","--","--","--","--","00:00:00","01:01:11","--","--"
Kardio,2020-12-19 13:07:15,false,"Cardio","0.00","504","01:03:10","118","162","2.3","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:03:10.43","1","0.0","--","--","--","--","--","--","00:00:00","01:03:10","--","--"
Kardio,2020-12-18 18:41:49,false,"Cardio","0.00","383","00:42:52","120","122","1.9","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","42:52.31","1","0.0","--","--","--","--","--","--","00:00:00","00:42:52","--","--"
Kardio,2020-12-18 18:04:24,false,"Cardio","0.00","338","00:36:59","121","160","1.8","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","36:59.37","1","0.0","--","--","--","--","--","--","00:00:00","00:36:59","--","--"
Kardio,2020-12-15 18:02:43,false,"Cardio","0.00","728","00:56:02","145","181","3.4","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","56:01.98","1","0.0","--","--","--","--","--","--","00:00:00","01:20:11","--","--"
Kardio,2020-12-11 18:17:37,false,"Cardio","0.00","946","01:21:18","139","175","3.4","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:21:18.14","1","0.0","--","--","--","--","--","--","00:00:00","01:21:18","--","--"
Ergometr wioślarski,2020-12-11 18:17:10,false,"Ergometr wioślarski","--","--","00:00:00.9","119","119","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:00.92","1","0.0","--","--","--","--","--","--","00:00:00","00:00:00.9","--","--"
Ergometr wioślarski,2020-12-11 18:04:03,false,"Ergometr wioślarski","--","132","00:10:45","133","150","1.9","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","235","--","--","--","--","0:00","0.0","0:00","Nie","10:45.45","1","0.0","--","--","--","--","--","--","00:00:00","00:10:45","--","--"
Ergometr wioślarski,2020-12-07 16:35:21,false,"Ergometr wioślarski","--","264","00:19:15","144","169","2.7","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","576","--","--","--","--","0:00","0.0","0:00","Nie","19:15.38","1","0.0","--","--","--","--","--","--","00:00:00","00:19:15","--","--"
Ergometr wioślarski,2020-12-04 17:18:07,false,"Ergometr wioślarski","--","269","00:20:31","140","168","2.5","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","603","--","--","--","--","0:00","0.0","0:00","Nie","20:30.71","1","0.0","--","--","--","--","--","--","00:00:00","00:20:31","--","--"
Bieganie,2020-11-25 20:35:35,false,"Gdańsk Bieg","3.22","839","01:19:24","138","178","3.5","29","239","24:37","3:59","--","--","1.23","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","14:55.54","4","0.0","--","--","--","--","--","--","00:31:45","01:21:33","5","6"
Kolarstwo,2020-11-21 09:37:17,false,"Gdańsk Kolarstwo","52.10","1,627","03:21:27","129","170","3.4","--","--","15.5","39.2","501","505","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","09:59.48","11","0.0","--","--","--","--","--","--","02:55:34","03:21:27","--","157"
Ergometr wioślarski,2020-11-19 19:43:53,false,"Ergometr wioślarski","--","373","00:27:46","142","167","3.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","907","--","--","--","--","0:00","0.0","0:00","Nie","27:46.40","1","0.0","--","--","--","--","--","--","00:00:00","00:27:46","--","--"
Bieganie,2020-11-18 20:37:23,false,"Gdańsk Bieg","4.68","867","01:23:37","135","186","3.8","39","249","17:51","2:50","--","--","1.46","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","14:08.48","5","0.0","--","--","--","--","--","--","00:44:03","01:23:37","-1","5"
Bieganie,2020-11-16 18:52:29,false,"Gdańsk Bieg","4.51","425","00:25:42","165","184","3.8","162","210","5:42","3:33","28","28","1.08","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","02:54.41","5","0.0","--","--","--","--","--","--","00:25:25","00:27:58","9","34"
Ergometr wioślarski,2020-11-12 18:58:18,false,"Ergometr wioślarski","--","422","00:30:34","154","173","3.4","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1038","--","--","--","--","0:00","0.0","0:00","Nie","30:34.44","1","0.0","--","--","--","--","--","--","00:00:00","00:30:57","--","--"
Ergometr wioślarski,2020-11-10 16:47:58,false,"Ergometr wioślarski","--","367","00:26:58","153","170","3.1","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","888","--","--","--","--","0:00","0.0","0:00","Nie","26:57.63","1","0.0","--","--","--","--","--","--","00:00:00","00:26:58","--","--"
Ergometr wioślarski,2020-11-07 10:48:01,false,"Ergometr wioślarski","--","449","00:35:01","147","165","3.2","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1050","--","--","--","--","0:00","0.0","0:00","Nie","35:00.85","1","0.0","--","--","--","--","--","--","00:00:00","00:35:01","--","--"
Ergometr wioślarski,2020-11-05 17:23:25,false,"Ergometr wioślarski","--","542","00:37:34","154","168","3.7","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1030","--","--","--","--","0:00","0.0","0:00","Nie","37:34.07","1","0.0","--","--","--","--","--","--","00:00:00","00:37:34","--","--"
Kolarstwo,2020-10-25 09:41:24,false,"Gdańsk Kolarstwo","43.65","1,260","02:43:57","125","157","2.9","--","--","16.0","58.2","784","754","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","02:43:56.59","1","0.0","--","--","--","--","--","--","02:16:20","02:47:12","-42","158"
Inne,2020-10-20 20:11:51,false,"Gdańsk Football","4.54","687","01:17:58","129","158","2.7","41","241","3.5","16.6","1","1","1.42","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:17:58.20","1","0.0","--","--","--","--","--","--","01:03:37","01:17:58","6","7"
Trening siłowy,2020-10-16 17:45:27,false,"Strength","0.00","278","00:29:57","123","139","1.9","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","18","3","0:00","0.0","0:00","Nie","29:56.94","1","0.0","--","--","--","--","--","--","00:28:14","00:30:03","--","--"
Ergometr wioślarski,2020-10-16 17:31:39,false,"Ergometr wioślarski","--","136","00:11:47","132","147","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","299","--","--","--","--","0:00","0.0","0:00","Nie","11:47.14","1","0.0","--","--","--","--","--","--","00:00:00","00:13:29","--","--"
Ergometr wioślarski,2020-10-14 18:51:02,false,"Ergometr wioślarski","--","256","00:19:33","140","160","2.6","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","570","--","--","--","--","0:00","0.0","0:00","Nie","19:33.03","1","0.0","--","--","--","--","--","--","00:00:00","00:19:33","--","--"
Trening siłowy,2020-10-14 18:16:47,false,"Strength","0.00","322","00:33:23","125","159","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","4","1","0:00","0.0","0:00","Nie","33:23.03","1","0.0","--","--","--","--","--","--","00:33:23","00:33:23","--","--"
Inne,2020-10-13 20:07:13,false,"Gdańsk Football","5.68","966","01:22:53","146","178","3.8","53","245","4.1","16.4","--","--","1.29","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:22:53.28","1","0.0","--","--","--","--","--","--","01:11:32","01:22:53","6","7"
Trening siłowy,2020-10-10 12:21:54,false,"Strength","0.00","514","00:49:53","132","153","2.5","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","13","1","0:00","0.0","0:00","Nie","49:52.97","1","0.0","--","--","--","--","--","--","00:49:53","00:49:53","--","--"
Pływanie w basenie,2020-10-09 18:04:24,false,"Pływanie w basenie","1,225","379","00:34:30","138","161","2.9","--","--","2:41","1:15","--","--","0.00","0.0","0.0","0.0","0.0","0.0","931","59","28","--","--","0:00","0.0","0:00","Nie","34:30.42","1","0.0","--","--","--","--","--","--","00:32:48","00:35:33","--","--"
Trening siłowy,2020-10-07 18:21:21,false,"Strength","0.00","489","00:48:54","130","168","2.6","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","10","1","0:00","0.0","0:00","Nie","48:53.84","1","0.0","--","--","--","--","--","--","00:48:54","00:48:54","--","--"
Trening siłowy,2020-10-05 19:11:05,false,"Strength","0.00","450","00:47:15","129","155","2.4","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","2","0:00","0.0","0:00","Nie","47:14.71","1","0.0","--","--","--","--","--","--","00:00:10","00:47:17","--","--"
Kardio,2020-10-01 20:13:20,false,"Cardio","0.00","520","00:51:26","134","164","3.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","51:25.52","1","0.0","--","--","--","--","--","--","00:00:00","00:51:26","--","--"
Kolarstwo,2020-09-30 17:50:17,false,"Gdańsk Kolarstwo","18.59","533","00:55:42","129","149","2.7","--","--","20.0","34.8","36","36","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","55:42.08","1","0.0","--","--","--","--","--","--","00:52:44","00:55:42","-1","26"
Kolarstwo,2020-09-28 16:53:59,false,"Gdańsk Kolarstwo","18.41","520","01:30:05","105","134","1.5","--","--","12.3","28.2","52","53","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:30:04.100","1","0.0","--","--","--","--","--","--","01:15:07","01:30:05","--","27"
Pływanie w basenie,2020-09-25 18:01:28,false,"Pływanie w basenie","1,250","382","00:37:03","134","154","2.7","--","--","2:47","1:07","--","--","0.00","0.0","0.0","0.0","0.0","0.0","966","61","28","--","--","0:00","0.0","0:00","Nie","37:02.94","1","0.0","--","--","--","--","--","--","00:34:46","00:37:13","--","--"
Inne,2020-09-22 20:22:41,false,"Gdańsk Football","4.49","419","01:10:29","110","132","1.3","47","243","3.8","15.7","1","--","1.35","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:10:29.10","1","0.0","--","--","--","--","--","--","01:01:24","01:10:29","6","7"
Bieganie,2020-09-22 20:09:29,false,"Gdańsk Bieg","1.01","81","00:12:57","103","119","0.4","59","230","12:52","3:47","--","--","1.32","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","00:05.18","2","0.0","--","--","--","--","--","--","00:10:48","00:12:57","6","7"
Pływanie w basenie,2020-09-18 18:02:05,false,"Pływanie w basenie","1,200","368","00:34:47","128","146","2.4","--","--","2:48","0:57","--","--","0.00","0.0","0.0","0.0","0.0","0.0","967","62","29","--","--","0:00","0.0","0:00","Nie","34:47.39","1","0.0","--","--","--","--","--","--","00:33:40","00:35:29","--","--"
Inne,2020-09-16 18:10:00,false,"Gdańsk Football","5.65","554","01:23:46","115","150","1.9","52","249","4.0","19.9","69","67","1.31","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:23:46.07","1","0.0","--","--","--","--","--","--","01:07:09","01:23:46","47","55"
Kardio,2020-09-12 13:56:43,false,"Cardio","0.00","418","00:37:41","133","172","2.8","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","37:40.81","1","0.0","--","--","--","--","--","--","00:00:00","00:37:41","--","--"
Kolarstwo,2020-09-09 17:34:21,false,"Gdańsk Kolarstwo","27.55","724","01:53:43","111","131","1.9","--","--","14.5","33.8","55","56","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","01:53:43.38","1","0.0","--","--","--","--","--","--","01:33:03","01:53:43","-2","32"
Kolarstwo,2020-08-24 10:17:18,false,"Cekcyn Kolarstwo","69.89","1,815","05:01:57","114","151","2.3","--","--","13.9","45.0","325","372","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","Nie","05:01:56.72","1","0.0","--","--","--","--","--","--","03:51:35","05:01:57","46","122"
